host_time_utc,host_monotonic_s,phase,requested_armed,requested_channels_forward_right_down_yaw,sent,transport_open,session_confirmed,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,command_count,rejected_command_count,round_trip_ms,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,yaw_rad,yaw_rate_rad_s,depth_m,pressure_pa,received_channels_forward_right_down_yaw,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available,vision_fresh,vision_age_s,vision_count,vision_stamp_s,vision_frame_id,vision_position_xyz_m,vision_quat_xyzw,vision_covariance_diag,vision_status_age_s,vision_status_count,vision_detected,vision_detected_ids,vision_world_xy_yaw,vision_detections_detail,vision_pnp_valid,vision_pnp_reprojection_error_px,vision_decision_margin,vision_detection_fps,refracted_status_age_s,refracted_status_count,refracted_mode,refracted_valid,refracted_residual_m,refracted_reject_reason
2026-08-12T13:29:31.898526+00:00,14147.182196869,onboard_extrinsic_left_060,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-12T13:29:31.948347+00:00,14147.232019750,onboard_extrinsic_left_060,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000976,1,1,"[15,16,17]","[0.309215,1.013045,1.661055]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":82.451469,""pixel_xy"":[900.596244,526.070503],""world_xy_yaw"":[0.387402,0.722994,0.072548],""pnp_valid"":true,""pnp_camera_xyz"":[0.490454,0.398776,1.223381],""pnp_camera_quat_xyzw"":[-0.042424,-0.011774,0.038042,0.998306],""pnp_camera_rpy_deg"":[-4.911547,-1.162098,4.414392],""pnp_reprojection_error_px"":0.037325},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":78.091713,""pixel_xy"":[898.826468,590.849086],""world_xy_yaw"":[0.384428,0.643964,-0.040113],""pnp_valid"":true,""pnp_camera_xyz"":[0.47105,0.52822,1.190212],""pnp_camera_quat_xyzw"":[0.00434,-0.050543,0.029941,0.998264],""pnp_camera_rpy_deg"":[0.324771,-5.80655,3.41944],""pnp_reprojection_error_px"":1.171659},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":159.787491,""pixel_xy"":[854.056524,288.323718],""world_xy_yaw"":[0.309215,1.013045,1.661055],""pnp_valid"":true,""pnp_camera_xyz"":[0.40296,-0.141624,1.273852],""pnp_camera_quat_xyzw"":[-0.019706,0.020753,0.742774,0.66893],""pnp_camera_rpy_deg"":[0.256335,3.26985,95.995956],""pnp_reprojection_error_px"":0.012658}]",1,0.012658,159.787491,85.063592,,0,,0,,
2026-08-12T13:29:31.998746+00:00,14147.282417068,onboard_extrinsic_left_060,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000831,3,1,"[15,16,17]","[0.308171,1.013208,1.658548]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":78.369728,""pixel_xy"":[900.083079,525.971294],""world_xy_yaw"":[0.38654,0.723115,0.072765],""pnp_valid"":true,""pnp_camera_xyz"":[0.488766,0.398076,1.221867],""pnp_camera_quat_xyzw"":[-0.042344,-0.010956,0.037158,0.998352],""pnp_camera_rpy_deg"":[-4.897787,-1.073193,4.308969],""pnp_reprojection_error_px"":0.064257},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":84.522339,""pixel_xy"":[897.385065,591.319245],""world_xy_yaw"":[0.382007,0.643391,0.042925],""pnp_valid"":true,""pnp_camera_xyz"":[0.473839,0.533426,1.200808],""pnp_camera_quat_xyzw"":[-0.027839,-0.047954,0.047751,0.997319],""pnp_camera_rpy_deg"":[-3.46105,-5.335795,5.64369],""pnp_reprojection_error_px"":0.839985},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":162.098602,""pixel_xy"":[853.43509,288.190423],""world_xy_yaw"":[0.308171,1.013208,1.658548],""pnp_valid"":true,""pnp_camera_xyz"":[0.401232,-0.141837,1.272751],""pnp_camera_quat_xyzw"":[-0.021169,0.020904,0.742339,0.669364],""pnp_camera_rpy_deg"":[0.154693,3.406155,95.922948],""pnp_reprojection_error_px"":0.041979}]",1,0.041979,162.098602,82.637862,,0,,0,,
2026-08-12T13:29:32.049761+00:00,14147.333434083,onboard_extrinsic_left_060,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.002055,4,1,"[15,16,17]","[0.307704,1.013278,1.656604]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":77.916649,""pixel_xy"":[899.85321,525.933197],""world_xy_yaw"":[0.386153,0.723161,0.073658],""pnp_valid"":true,""pnp_camera_xyz"":[0.488439,0.39818,1.222351],""pnp_camera_quat_xyzw"":[-0.041214,-0.008927,0.037078,0.998422],""pnp_camera_rpy_deg"":[-4.759257,-0.846281,4.288774],""pnp_reprojection_error_px"":0.070671},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":82.24736,""pixel_xy"":[897.6586,590.620395],""world_xy_yaw"":[0.382466,0.644243,0.073199],""pnp_valid"":true,""pnp_camera_xyz"":[0.478897,0.538316,1.211122],""pnp_camera_quat_xyzw"":[-0.053177,-0.001353,0.036774,0.997907],""pnp_camera_rpy_deg"":[-6.098137,0.06933,4.21726],""pnp_reprojection_error_px"":0.048645},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":161.260422,""pixel_xy"":[853.157053,288.132529],""world_xy_yaw"":[0.307704,1.013278,1.656604],""pnp_valid"":true,""pnp_camera_xyz"":[0.400409,-0.141912,1.272205],""pnp_camera_quat_xyzw"":[-0.02308,0.020722,0.741909,0.669783],""pnp_camera_rpy_deg"":[-0.009703,3.554922,95.849299],""pnp_reprojection_error_px"":0.040812}]",1,0.040812,161.260422,81.384734,,0,,0,,
2026-08-12T13:29:32.100138+00:00,14147.383799678,onboard_extrinsic_left_060,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001607,6,1,"[15,16,17]","[0.306876,1.013379,1.655138]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":79.307831,""pixel_xy"":[899.447174,525.830578],""world_xy_yaw"":[0.385471,0.723287,0.073151],""pnp_valid"":true,""pnp_camera_xyz"":[0.487361,0.397964,1.22205],""pnp_camera_quat_xyzw"":[-0.041418,-0.00461,0.036055,0.998481],""pnp_camera_rpy_deg"":[-4.763623,-0.356387,4.150862],""pnp_reprojection_error_px"":0.10154},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":81.905159,""pixel_xy"":[897.281075,590.581681],""world_xy_yaw"":[0.381832,0.64429,0.073887],""pnp_valid"":true,""pnp_camera_xyz"":[0.478086,0.538281,1.211317],""pnp_camera_quat_xyzw"":[-0.05367,0.001201,0.03663,0.997886],""pnp_camera_rpy_deg"":[-6.143962,0.36266,4.185072],""pnp_reprojection_error_px"":0.056311},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":163.202728,""pixel_xy"":[852.664171,288.049957],""world_xy_yaw"":[0.306876,1.013379,1.655138],""pnp_valid"":true,""pnp_camera_xyz"":[0.399467,-0.142226,1.273011],""pnp_camera_quat_xyzw"":[-0.023579,0.019394,0.74153,0.670224],""pnp_camera_rpy_deg"":[-0.163278,3.495243,95.778009],""pnp_reprojection_error_px"":0.036184}]",1,0.036184,163.202728,84.107973,,0,,0,,
2026-08-12T13:29:32.150146+00:00,14147.433806839,onboard_extrinsic_left_060,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.002381,7,1,"[15,16,17]","[0.306445,1.013467,1.655233]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":79.49086,""pixel_xy"":[899.28889,525.803186],""world_xy_yaw"":[0.385205,0.72332,0.07425],""pnp_valid"":true,""pnp_camera_xyz"":[0.487289,0.398078,1.222764],""pnp_camera_quat_xyzw"":[-0.04303,-0.002727,0.036082,0.998418],""pnp_camera_rpy_deg"":[-4.940443,-0.134088,4.145235],""pnp_reprojection_error_px"":0.077435},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":80.384056,""pixel_xy"":[897.118068,590.52997],""world_xy_yaw"":[0.381558,0.644353,0.076039],""pnp_valid"":true,""pnp_camera_xyz"":[0.478096,0.538632,1.21229],""pnp_camera_quat_xyzw"":[-0.055932,0.004171,0.036606,0.997755],""pnp_camera_rpy_deg"":[-6.391169,0.711563,4.162533],""pnp_reprojection_error_px"":0.041203},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":160.601715,""pixel_xy"":[852.407694,287.977846],""world_xy_yaw"":[0.306445,1.013467,1.655233],""pnp_valid"":true,""pnp_camera_xyz"":[0.398827,-0.142316,1.272895],""pnp_camera_quat_xyzw"":[-0.025193,0.020472,0.741369,0.670312],""pnp_camera_rpy_deg"":[-0.196351,3.715405,95.756795],""pnp_reprojection_error_px"":0.014547}]",1,0.014547,160.601715,85.035177,,0,,0,,
2026-08-12T13:29:32.198691+00:00,14147.482362571,onboard_extrinsic_left_060,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000830,9,1,"[15,16,17]","[0.305651,1.013562,1.652375]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":80.100952,""pixel_xy"":[898.982484,525.681095],""world_xy_yaw"":[0.384691,0.723469,0.076007],""pnp_valid"":true,""pnp_camera_xyz"":[0.487066,0.398161,1.223913],""pnp_camera_quat_xyzw"":[-0.04459,-0.001102,0.0364,0.998341],""pnp_camera_rpy_deg"":[-5.112515,0.059971,4.173498],""pnp_reprojection_error_px"":0.0714},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":80.675529,""pixel_xy"":[896.462376,591.330354],""world_xy_yaw"":[0.380457,0.643377,0.03963],""pnp_valid"":true,""pnp_camera_xyz"":[0.467453,0.528131,1.189958],""pnp_camera_quat_xyzw"":[-0.016022,-0.045526,0.047246,0.997717],""pnp_camera_rpy_deg"":[-2.087028,-5.125038,5.515769],""pnp_reprojection_error_px"":1.069114},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":160.878738,""pixel_xy"":[851.935218,287.900151],""world_xy_yaw"":[0.305651,1.013562,1.652375],""pnp_valid"":true,""pnp_camera_xyz"":[0.397549,-0.142506,1.272305],""pnp_camera_quat_xyzw"":[-0.026127,0.021149,0.74112,0.670531],""pnp_camera_rpy_deg"":[-0.211872,3.846767,95.718232],""pnp_reprojection_error_px"":0.039078}]",1,0.039078,160.878738,83.998972,,0,,0,,
2026-08-12T13:29:32.250168+00:00,14147.533828018,onboard_extrinsic_left_060,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.002399,10,1,"[15,16,17]","[0.305237,1.013626,1.654071]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":80.339424,""pixel_xy"":[898.892891,525.586265],""world_xy_yaw"":[0.38454,0.723585,0.075376],""pnp_valid"":true,""pnp_camera_xyz"":[0.486228,0.397466,1.222357],""pnp_camera_quat_xyzw"":[-0.042132,-0.001561,0.036437,0.998446],""pnp_camera_rpy_deg"":[-4.832758,-0.002724,4.180115],""pnp_reprojection_error_px"":0.07782},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":84.36277,""pixel_xy"":[895.855155,591.549559],""world_xy_yaw"":[0.379437,0.64311,0.077341],""pnp_valid"":true,""pnp_camera_xyz"":[0.467884,0.529266,1.192273],""pnp_camera_quat_xyzw"":[-0.030562,-0.050149,0.057496,0.996617],""pnp_camera_rpy_deg"":[-3.841503,-5.534488,6.789374],""pnp_reprojection_error_px"":1.204838},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":161.107986,""pixel_xy"":[851.688414,287.847469],""world_xy_yaw"":[0.305237,1.013626,1.654071],""pnp_valid"":true,""pnp_camera_xyz"":[0.397336,-0.142744,1.273457],""pnp_camera_quat_xyzw"":[-0.022801,0.021209,0.741139,0.670628],""pnp_camera_rpy_deg"":[0.049107,3.568585,95.720072],""pnp_reprojection_error_px"":0.034208}]",1,0.034208,161.107986,84.408497,,0,,0,,
2026-08-12T13:29:32.300207+00:00,14147.583865994,onboard_extrinsic_left_060,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.002387,11,1,"[15,16,17]","[0.304862,1.013674,1.653642]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":82.129417,""pixel_xy"":[898.817323,525.521356],""world_xy_yaw"":[0.384413,0.723664,0.074675],""pnp_valid"":true,""pnp_camera_xyz"":[0.486085,0.397304,1.222487],""pnp_camera_quat_xyzw"":[-0.041658,-0.000592,0.036119,0.998479],""pnp_camera_rpy_deg"":[-4.774411,0.104742,4.139098],""pnp_reprojection_error_px"":0.050171},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":79.777443,""pixel_xy"":[896.412181,591.08815],""world_xy_yaw"":[0.380372,0.643672,0.038785],""pnp_valid"":true,""pnp_camera_xyz"":[0.468062,0.528661,1.191974],""pnp_camera_quat_xyzw"":[-0.018603,-0.042425,0.045828,0.997875],""pnp_camera_rpy_deg"":[-2.358855,-4.75901,5.356991],""pnp_reprojection_error_px"":1.00747},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":161.11261,""pixel_xy"":[851.46534,287.808275],""world_xy_yaw"":[0.304862,1.013674,1.653642],""pnp_valid"":true,""pnp_camera_xyz"":[0.396785,-0.142836,1.273419],""pnp_camera_quat_xyzw"":[-0.022601,0.021556,0.74101,0.670767],""pnp_camera_rpy_deg"":[0.093378,3.57839,95.699756],""pnp_reprojection_error_px"":0.032189}]",1,0.032189,161.11261,83.428425,,0,,0,,
2026-08-12T13:29:32.350136+00:00,14147.633797086,onboard_extrinsic_left_060,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001615,13,1,"[15,16,17]","[0.304161,1.013795,1.654709]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":77.223488,""pixel_xy"":[898.657697,525.368844],""world_xy_yaw"":[0.384145,0.72385,0.072461],""pnp_valid"":true,""pnp_camera_xyz"":[0.485485,0.396723,1.221759],""pnp_camera_quat_xyzw"":[-0.041209,-0.001824,0.03488,0.99854],""pnp_camera_rpy_deg"":[-4.727964,-0.043989,4.002953],""pnp_reprojection_error_px"":0.056881},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":84.942261,""pixel_xy"":[895.725377,591.478137],""world_xy_yaw"":[0.379219,0.643197,0.079553],""pnp_valid"":true,""pnp_camera_xyz"":[0.466462,0.527359,1.189061],""pnp_camera_quat_xyzw"":[-0.028408,-0.051364,0.058301,0.996572],""pnp_camera_rpy_deg"":[-3.607407,-5.685237,6.875306],""pnp_reprojection_error_px"":1.350547},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":162.25795,""pixel_xy"":[851.048243,287.709021],""world_xy_yaw"":[0.304161,1.013795,1.654709],""pnp_valid"":true,""pnp_camera_xyz"":[0.396056,-0.143145,1.274127],""pnp_camera_quat_xyzw"":[-0.020461,0.021041,0.741009,0.670853],""pnp_camera_rpy_deg"":[0.214166,3.356831,95.695679],""pnp_reprojection_error_px"":0.035435}]",1,0.035435,162.25795,84.640282,,0,,0,,
2026-08-12T13:29:32.400357+00:00,14147.684015695,onboard_extrinsic_left_060,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.002607,14,1,"[15,16,17]","[0.303837,1.013813,1.652556]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":79.175888,""pixel_xy"":[898.560015,525.306602],""world_xy_yaw"":[0.383981,0.723926,0.072325],""pnp_valid"":true,""pnp_camera_xyz"":[0.485166,0.396439,1.221402],""pnp_camera_quat_xyzw"":[-0.041032,-0.002349,0.034531,0.998558],""pnp_camera_rpy_deg"":[-4.70974,-0.106437,3.965437],""pnp_reprojection_error_px"":0.060869},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":79.408272,""pixel_xy"":[896.577488,590.066987],""world_xy_yaw"":[0.38065,0.644918,0.079486],""pnp_valid"":true,""pnp_camera_xyz"":[0.476884,0.537393,1.211912],""pnp_camera_quat_xyzw"":[-0.057626,0.005204,0.036329,0.997663],""pnp_camera_rpy_deg"":[-6.581501,0.834814,4.122922],""pnp_reprojection_error_px"":0.086736},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":162.703583,""pixel_xy"":[850.85523,287.694106],""world_xy_yaw"":[0.303837,1.013813,1.652556],""pnp_valid"":true,""pnp_camera_xyz"":[0.395388,-0.143152,1.273385],""pnp_camera_quat_xyzw"":[-0.021472,0.020051,0.74074,0.671149],""pnp_camera_rpy_deg"":[0.050719,3.366649,95.64507],""pnp_reprojection_error_px"":0.058627}]",1,0.058627,162.703583,83.190205,,0,,0,,
2026-08-12T13:29:32.449082+00:00,14147.732750669,onboard_extrinsic_left_060,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000809,16,1,"[15,16,17]","[0.303211,1.013923,1.654386]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":79.724342,""pixel_xy"":[898.408624,525.214661],""world_xy_yaw"":[0.383726,0.724038,0.070286],""pnp_valid"":true,""pnp_camera_xyz"":[0.484869,0.396292,1.22153],""pnp_camera_quat_xyzw"":[-0.041332,-0.003119,0.033827,0.998568],""pnp_camera_rpy_deg"":[-4.747061,-0.196676,3.888463],""pnp_reprojection_error_px"":0.062451},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":74.786705,""pixel_xy"":[896.931153,590.559779],""world_xy_yaw"":[0.381244,0.644317,-0.032899],""pnp_valid"":true,""pnp_camera_xyz"":[0.462103,0.521005,1.177359],""pnp_camera_quat_xyzw"":[0.01211,-0.053106,0.032552,0.997985],""pnp_camera_rpy_deg"":[1.193762,-6.130111,3.672519],""pnp_reprojection_error_px"":1.341484},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":162.146866,""pixel_xy"":[850.482901,287.604391],""world_xy_yaw"":[0.303211,1.013923,1.654386],""pnp_valid"":true,""pnp_camera_xyz"":[0.394761,-0.143375,1.274226],""pnp_camera_quat_xyzw"":[-0.02195,0.018817,0.740666,0.671251],""pnp_camera_rpy_deg"":[-0.091469,3.312203,95.626501],""pnp_reprojection_error_px"":0.024969}]",1,0.024969,162.146866,83.603112,,0,,0,,
2026-08-12T13:29:32.500383+00:00,14147.784041353,onboard_extrinsic_left_060,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.002516,17,1,"[15,16,17]","[0.302848,1.013936,1.651546]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":78.555214,""pixel_xy"":[898.330079,525.16311],""world_xy_yaw"":[0.383595,0.724101,0.069912],""pnp_valid"":true,""pnp_camera_xyz"":[0.484962,0.396457,1.222162],""pnp_camera_quat_xyzw"":[-0.041009,-0.002372,0.033208,0.998604],""pnp_camera_rpy_deg"":[-4.707021,-0.115432,3.813962],""pnp_reprojection_error_px"":0.092832},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":84.399704,""pixel_xy"":[895.427773,591.524415],""world_xy_yaw"":[0.378719,0.64314,0.056329],""pnp_valid"":true,""pnp_camera_xyz"":[0.462847,0.523691,1.18194],""pnp_camera_quat_xyzw"":[-0.016006,-0.067999,0.058266,0.995854],""pnp_camera_rpy_deg"":[-2.301776,-7.675905,6.85142],""pnp_reprojection_error_px"":1.578697},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":163.265579,""pixel_xy"":[850.266979,287.593599],""world_xy_yaw"":[0.302848,1.013936,1.651546],""pnp_valid"":true,""pnp_camera_xyz"":[0.393945,-0.143291,1.273229],""pnp_camera_quat_xyzw"":[-0.024658,0.020508,0.74023,0.671589],""pnp_camera_rpy_deg"":[-0.158428,3.672324,95.561849],""pnp_reprojection_error_px"":0.024578}]",1,0.024578,163.265579,82.55287,,0,,0,,
2026-08-12T13:29:32.550176+00:00,14147.833835281,onboard_extrinsic_left_060,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001591,19,1,"[15,16,17]","[0.302144,1.013953,1.649071]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":79.168312,""pixel_xy"":[898.187976,525.113315],""world_xy_yaw"":[0.383356,0.724162,0.06827],""pnp_valid"":true,""pnp_camera_xyz"":[0.485333,0.396942,1.223969],""pnp_camera_quat_xyzw"":[-0.044608,-0.002609,0.032711,0.998465],""pnp_camera_rpy_deg"":[-5.120466,-0.131301,3.758647],""pnp_reprojection_error_px"":0.090125},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":78.091187,""pixel_xy"":[896.589438,590.555945],""world_xy_yaw"":[0.38067,0.644322,-0.014854],""pnp_valid"":true,""pnp_camera_xyz"":[0.463735,0.52325,1.182279],""pnp_camera_quat_xyzw"":[0.002848,-0.051998,0.035439,0.998014],""pnp_camera_rpy_deg"":[0.115126,-5.968998,4.061337],""pnp_reprojection_error_px"":1.179319},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":162.645584,""pixel_xy"":[849.847624,287.579249],""world_xy_yaw"":[0.302144,1.013953,1.649071],""pnp_valid"":true,""pnp_camera_xyz"":[0.393039,-0.143402,1.273524],""pnp_camera_quat_xyzw"":[-0.025042,0.019814,0.739683,0.672198],""pnp_camera_rpy_deg"":[-0.250009,3.65133,95.465088],""pnp_reprojection_error_px"":0.037026}]",1,0.037026,162.645584,80.541728,,0,,0,,
2026-08-12T13:29:32.599774+00:00,14147.883444332,onboard_extrinsic_left_060,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.002009,20,1,"[15,16,17]","[0.301807,1.013949,1.649634]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":78.683998,""pixel_xy"":[898.098623,525.099629],""world_xy_yaw"":[0.383206,0.724178,0.067935],""pnp_valid"":true,""pnp_camera_xyz"":[0.485232,0.396996,1.224171],""pnp_camera_quat_xyzw"":[-0.044159,-0.002855,0.032407,0.998495],""pnp_camera_rpy_deg"":[-5.069841,-0.162646,3.72501],""pnp_reprojection_error_px"":0.101449},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":80.651413,""pixel_xy"":[895.303246,591.363183],""world_xy_yaw"":[0.378509,0.643337,0.066856],""pnp_valid"":true,""pnp_camera_xyz"":[0.464523,0.525687,1.186486],""pnp_camera_quat_xyzw"":[-0.024,-0.063162,0.05796,0.99603],""pnp_camera_rpy_deg"":[-3.184614,-7.067655,6.857403],""pnp_reprojection_error_px"":1.451007},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":163.469376,""pixel_xy"":[849.646865,287.58253],""world_xy_yaw"":[0.301807,1.013949,1.649634],""pnp_valid"":true,""pnp_camera_xyz"":[0.392887,-0.143492,1.274523],""pnp_camera_quat_xyzw"":[-0.023154,0.019534,0.739485,0.672491],""pnp_camera_rpy_deg"":[-0.129252,3.469424,95.429019],""pnp_reprojection_error_px"":0.031749}]",1,0.031749,163.469376,83.477463,,0,,0,,
