host_time_utc,host_monotonic_s,phase,requested_armed,requested_channels_forward_right_down_yaw,sent,transport_open,session_confirmed,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,command_count,rejected_command_count,round_trip_ms,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,yaw_rad,yaw_rate_rad_s,depth_m,pressure_pa,received_channels_forward_right_down_yaw,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available,vision_fresh,vision_age_s,vision_count,vision_stamp_s,vision_frame_id,vision_position_xyz_m,vision_quat_xyzw,vision_covariance_diag,vision_status_age_s,vision_status_count,vision_detected,vision_detected_ids,vision_world_xy_yaw,vision_detections_detail,vision_pnp_valid,vision_pnp_reprojection_error_px,vision_decision_margin,vision_detection_fps,refracted_status_age_s,refracted_status_count,refracted_mode,refracted_valid,refracted_residual_m,refracted_reject_reason
2026-08-12T11:29:25.678657+00:00,6940.962325925,onboard_target_080_static_centered,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-12T11:29:25.729016+00:00,6941.012686484,onboard_target_080_static_centered,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-12T11:29:25.779283+00:00,6941.062944375,onboard_target_080_static_centered,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-12T11:29:25.830081+00:00,6941.113745929,onboard_target_080_static_centered,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000142,4,1,"[15,16,17]","[0.257613,0.590106,1.654726]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":159.39769,""pixel_xy"":[593.335706,617.609808],""world_xy_yaw"":[-0.128796,0.611316,1.576081],""pnp_valid"":true,""pnp_camera_xyz"":[-0.199629,0.601647,1.215459],""pnp_camera_quat_xyzw"":[-0.003933,0.051826,0.702453,0.70983],""pnp_camera_rpy_deg"":[3.866876,4.536958,89.554719],""pnp_reprojection_error_px"":0.055427},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":150.006851,""pixel_xy"":[531.52352,616.505952],""world_xy_yaw"":[-0.23264,0.612663,1.585651],""pnp_valid"":true,""pnp_camera_xyz"":[-0.339706,0.602094,1.220546],""pnp_camera_quat_xyzw"":[-0.022931,0.042137,0.701625,0.71093],""pnp_camera_rpy_deg"":[1.526362,5.283855,89.315635],""pnp_reprojection_error_px"":0.085363},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":167.69368,""pixel_xy"":[823.341207,634.995008],""world_xy_yaw"":[0.257613,0.590106,1.654726],""pnp_valid"":true,""pnp_camera_xyz"":[0.31458,0.639626,1.215532],""pnp_camera_quat_xyzw"":[0.024109,0.029761,0.736988,0.67482],""pnp_camera_rpy_deg"":[4.381987,0.265277,95.052891],""pnp_reprojection_error_px"":0.048058}]",1,0.048058,167.69368,92.078113,,0,,0,,
2026-08-12T11:29:25.880403+00:00,6941.164062780,onboard_target_080_static_centered,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001311,6,1,"[15,16,17]","[0.257358,0.589744,1.662071]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":159.65593,""pixel_xy"":[593.148997,617.754374],""world_xy_yaw"":[-0.12911,0.61114,1.587488],""pnp_valid"":true,""pnp_camera_xyz"":[-0.200694,0.604016,1.219563],""pnp_camera_quat_xyzw"":[-0.008404,0.052747,0.705996,0.706198],""pnp_camera_rpy_deg"":[3.603016,4.954562,90.139542],""pnp_reprojection_error_px"":0.0408},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":149.449814,""pixel_xy"":[531.456899,616.275623],""world_xy_yaw"":[-0.232752,0.612944,1.590989],""pnp_valid"":true,""pnp_camera_xyz"":[-0.339395,0.600779,1.21914],""pnp_camera_quat_xyzw"":[-0.018501,0.046356,0.704135,0.708309],""pnp_camera_rpy_deg"":[2.248765,5.262737,89.764737],""pnp_reprojection_error_px"":0.044048},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":166.313873,""pixel_xy"":[823.18929,635.292005],""world_xy_yaw"":[0.257358,0.589744,1.662071],""pnp_valid"":true,""pnp_camera_xyz"":[0.314659,0.641249,1.217217],""pnp_camera_quat_xyzw"":[0.024798,0.032025,0.738993,0.672494],""pnp_camera_rpy_deg"":[4.628044,0.367998,95.409634],""pnp_reprojection_error_px"":0.024116}]",1,0.024116,166.313873,88.108192,,0,,0,,
2026-08-12T11:29:25.930792+00:00,6941.214447983,onboard_target_080_static_centered,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.002269,7,1,"[15,16,17]","[0.257225,0.589509,1.665522]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":158.419586,""pixel_xy"":[592.904746,617.750368],""world_xy_yaw"":[-0.12952,0.611145,1.592246],""pnp_valid"":true,""pnp_camera_xyz"":[-0.201167,0.603957,1.219021],""pnp_camera_quat_xyzw"":[-0.006798,0.053036,0.706276,0.705914],""pnp_camera_rpy_deg"":[3.758561,4.846128,90.188483],""pnp_reprojection_error_px"":0.088086},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":148.725449,""pixel_xy"":[531.209342,616.140123],""world_xy_yaw"":[-0.233168,0.613109,1.600018],""pnp_valid"":true,""pnp_camera_xyz"":[-0.340033,0.600835,1.219618],""pnp_camera_quat_xyzw"":[-0.017751,0.047476,0.706457,0.705938],""pnp_camera_rpy_deg"":[2.418408,5.284995,90.153753],""pnp_reprojection_error_px"":0.049772},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":166.884399,""pixel_xy"":[823.110045,635.484275],""world_xy_yaw"":[0.257225,0.589509,1.665522],""pnp_valid"":true,""pnp_camera_xyz"":[0.314858,0.642258,1.218351],""pnp_camera_quat_xyzw"":[0.023754,0.033627,0.740628,0.670652],""pnp_camera_rpy_deg"":[4.684865,0.568235,95.700407],""pnp_reprojection_error_px"":0.028954}]",1,0.028954,166.884399,90.967005,,0,,0,,
2026-08-12T11:29:25.979293+00:00,6941.262959195,onboard_target_080_static_centered,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000693,9,1,"[15,16,17]","[0.256781,0.58904,1.673763]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":159.247162,""pixel_xy"":[592.01026,617.982789],""world_xy_yaw"":[-0.131023,0.610861,1.595459],""pnp_valid"":true,""pnp_camera_xyz"":[-0.203417,0.604961,1.220201],""pnp_camera_quat_xyzw"":[-0.00958,0.050802,0.708281,0.704035],""pnp_camera_rpy_deg"":[3.364493,4.882014,90.487964],""pnp_reprojection_error_px"":0.071241},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":147.603607,""pixel_xy"":[530.33334,615.957001],""world_xy_yaw"":[-0.23464,0.613332,1.606786],""pnp_valid"":true,""pnp_camera_xyz"":[-0.34283,0.601813,1.222356],""pnp_camera_quat_xyzw"":[-0.014274,0.051415,0.708308,0.703884],""pnp_camera_rpy_deg"":[3.036276,5.313267,90.499896],""pnp_reprojection_error_px"":0.075825},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":168.157654,""pixel_xy"":[822.84602,635.868512],""world_xy_yaw"":[0.256781,0.58904,1.673763],""pnp_valid"":true,""pnp_camera_xyz"":[0.315804,0.645655,1.223204],""pnp_camera_quat_xyzw"":[0.024653,0.038789,0.744108,0.666476],""pnp_camera_rpy_deg"":[5.197979,0.860336,96.339266],""pnp_reprojection_error_px"":0.145587}]",1,0.145587,168.157654,88.867537,,0,,0,,
2026-08-12T11:29:26.030394+00:00,6941.314064169,onboard_target_080_static_centered,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001938,10,1,"[15,16,17]","[0.256489,0.588934,1.676111]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":158.467438,""pixel_xy"":[591.271464,618.072147],""world_xy_yaw"":[-0.132264,0.610752,1.594198],""pnp_valid"":true,""pnp_camera_xyz"":[-0.204983,0.604797,1.219635],""pnp_camera_quat_xyzw"":[-0.008063,0.049735,0.708736,0.703672],""pnp_camera_rpy_deg"":[3.402316,4.67041,90.549634],""pnp_reprojection_error_px"":0.063261},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":148.069321,""pixel_xy"":[529.590365,615.928179],""world_xy_yaw"":[-0.235888,0.613368,1.602963],""pnp_valid"":true,""pnp_camera_xyz"":[-0.343749,0.600229,1.219615],""pnp_camera_quat_xyzw"":[-0.010969,0.051862,0.708513,0.703704],""pnp_camera_rpy_deg"":[3.341106,5.079282,90.538437],""pnp_reprojection_error_px"":0.053682},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":161.940445,""pixel_xy"":[822.67226,635.955457],""world_xy_yaw"":[0.256489,0.588934,1.676111],""pnp_valid"":true,""pnp_camera_xyz"":[0.315885,0.646579,1.224454],""pnp_camera_quat_xyzw"":[0.026468,0.040863,0.744477,0.66587],""pnp_camera_rpy_deg"":[5.514753,0.860028,96.421686],""pnp_reprojection_error_px"":0.205717}]",1,0.205717,161.940445,92.555237,,0,,0,,
2026-08-12T11:29:26.079275+00:00,6941.362945057,onboard_target_080_static_centered,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000721,12,1,"[15,16,17]","[0.256057,0.589037,1.651083]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":156.657806,""pixel_xy"":[589.306506,618.109642],""world_xy_yaw"":[-0.135565,0.610706,1.598534],""pnp_valid"":true,""pnp_camera_xyz"":[-0.209213,0.604251,1.21822],""pnp_camera_quat_xyzw"":[-0.005418,0.049024,0.710127,0.702344],""pnp_camera_rpy_deg"":[3.566026,4.390706,90.768219],""pnp_reprojection_error_px"":0.091531},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":147.03952,""pixel_xy"":[527.550138,615.756496],""world_xy_yaw"":[-0.239316,0.613577,1.604599],""pnp_valid"":true,""pnp_camera_xyz"":[-0.34914,0.60142,1.222835],""pnp_camera_quat_xyzw"":[-0.016237,0.046013,0.709684,0.702828],""pnp_camera_rpy_deg"":[2.444398,5.032687,90.663625],""pnp_reprojection_error_px"":0.020745},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":170.455063,""pixel_xy"":[822.415183,635.870931],""world_xy_yaw"":[0.256057,0.589037,1.651083],""pnp_valid"":true,""pnp_camera_xyz"":[0.322273,0.657729,1.246494],""pnp_camera_quat_xyzw"":[0.06424,0.07915,0.736563,0.668643],""pnp_camera_rpy_deg"":[11.684278,0.642443,95.600166],""pnp_reprojection_error_px"":0.760273}]",1,0.760273,170.455063,91.978687,,0,,0,,
2026-08-12T11:29:26.130272+00:00,6941.413933380,onboard_target_080_static_centered,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001891,13,1,"[15,16,17]","[0.257735,0.588595,1.685831]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":155.695129,""pixel_xy"":[588.188342,618.162407],""world_xy_yaw"":[-0.137444,0.610642,1.600428],""pnp_valid"":true,""pnp_camera_xyz"":[-0.212199,0.605392,1.220454],""pnp_camera_quat_xyzw"":[-0.009348,0.049322,0.710953,0.701445],""pnp_camera_rpy_deg"":[3.279823,4.731407,90.906969],""pnp_reprojection_error_px"":0.130079},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":146.995941,""pixel_xy"":[526.440068,615.533954],""world_xy_yaw"":[-0.241181,0.613849,1.613554],""pnp_valid"":true,""pnp_camera_xyz"":[-0.35313,0.603592,1.227854],""pnp_camera_quat_xyzw"":[-0.0223,0.045474,0.710672,0.701698],""pnp_camera_rpy_deg"":[1.919219,5.480907,90.819902],""pnp_reprojection_error_px"":0.064977},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":163.331635,""pixel_xy"":[823.413461,636.233519],""world_xy_yaw"":[0.257735,0.588595,1.685831],""pnp_valid"":true,""pnp_camera_xyz"":[0.314053,0.641576,1.213968],""pnp_camera_quat_xyzw"":[0.02689,0.028462,0.746443,0.664297],""pnp_camera_rpy_deg"":[4.486112,-0.133442,96.659779],""pnp_reprojection_error_px"":0.142467}]",1,0.142467,163.331635,91.012007,,0,,0,,
2026-08-12T11:29:26.179234+00:00,6941.462904212,onboard_target_080_static_centered,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000708,15,1,"[15,16,17]","[-0.14203,0.610783,1.605311]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":155.214172,""pixel_xy"":[585.458572,618.047085],""world_xy_yaw"":[-0.14203,0.610783,1.605311],""pnp_valid"":true,""pnp_camera_xyz"":[-0.217627,0.603474,1.216816],""pnp_camera_quat_xyzw"":[-0.005774,0.048448,0.712155,0.700324],""pnp_camera_rpy_deg"":[3.502659,4.363379,91.0933],""pnp_reprojection_error_px"":0.107809},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":148.487473,""pixel_xy"":[523.908737,615.136548],""world_xy_yaw"":[-0.245433,0.614333,1.612178],""pnp_valid"":true,""pnp_camera_xyz"":[-0.358485,0.601836,1.226284],""pnp_camera_quat_xyzw"":[-0.015595,0.046194,0.711634,0.700856],""pnp_camera_rpy_deg"":[2.524921,4.987951,90.984376],""pnp_reprojection_error_px"":0.050865},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":150.36731,""pixel_xy"":[823.487788,636.277853],""world_xy_yaw"":[0.257859,0.588541,1.695081],""pnp_valid"":true,""pnp_camera_xyz"":[0.314539,0.641853,1.214372],""pnp_camera_quat_xyzw"":[0.020226,0.031618,0.75112,0.659098],""pnp_camera_rpy_deg"":[4.253215,0.647139,97.490921],""pnp_reprojection_error_px"":0.072662}]",1,0.107809,155.214172,90.885693,,0,,0,,
2026-08-12T11:29:26.230264+00:00,6941.513924879,onboard_target_080_static_centered,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001892,16,1,"[15,16,17]","[0.257839,0.58854,1.698251]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":154.494568,""pixel_xy"":[583.98146,618.02539],""world_xy_yaw"":[-0.144511,0.610809,1.608046],""pnp_valid"":true,""pnp_camera_xyz"":[-0.221246,0.604217,1.218566],""pnp_camera_quat_xyzw"":[-0.008448,0.047401,0.713589,0.698908],""pnp_camera_rpy_deg"":[3.210961,4.49168,91.316978],""pnp_reprojection_error_px"":0.094162},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":149.520584,""pixel_xy"":[522.428028,614.887455],""world_xy_yaw"":[-0.247921,0.614637,1.621488],""pnp_valid"":true,""pnp_camera_xyz"":[-0.36188,0.601405,1.226436],""pnp_camera_quat_xyzw"":[-0.01992,0.044733,0.714284,0.69814],""pnp_camera_rpy_deg"":[2.076915,5.216349,91.404344],""pnp_reprojection_error_px"":0.060728},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":165.426682,""pixel_xy"":[823.475708,636.278937],""world_xy_yaw"":[0.257839,0.58854,1.698251],""pnp_valid"":true,""pnp_camera_xyz"":[0.314581,0.641982,1.214601],""pnp_camera_quat_xyzw"":[0.019437,0.030799,0.752166,0.657966],""pnp_camera_rpy_deg"":[4.123945,0.646824,97.666896],""pnp_reprojection_error_px"":0.067874}]",1,0.067874,165.426682,91.285708,,0,,0,,
2026-08-12T11:29:26.279383+00:00,6941.563050284,onboard_target_080_static_centered,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001172,17,1,"[15,16]","[-0.14718,0.610855,1.610075]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":153.995453,""pixel_xy"":[582.393021,617.987597],""world_xy_yaw"":[-0.14718,0.610855,1.610075],""pnp_valid"":true,""pnp_camera_xyz"":[-0.224843,0.604305,1.218867],""pnp_camera_quat_xyzw"":[-0.006459,0.048239,0.714206,0.698242],""pnp_camera_rpy_deg"":[3.443384,4.392623,91.42719],""pnp_reprojection_error_px"":0.082042},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":144.777313,""pixel_xy"":[520.799682,614.762074],""world_xy_yaw"":[-0.250657,0.61479,1.612439],""pnp_valid"":true,""pnp_camera_xyz"":[-0.362912,0.5968,1.217957],""pnp_camera_quat_xyzw"":[-0.008085,0.043725,0.714299,0.698427],""pnp_camera_rpy_deg"":[2.940995,4.164922,91.394327],""pnp_reprojection_error_px"":0.036566}]",1,0.082042,153.995453,89.685676,,0,,0,,
2026-08-12T11:29:26.330783+00:00,6941.614439935,onboard_target_080_static_centered,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001572,19,1,"[15,16,17]","[0.258028,0.588475,1.696743]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":152.492996,""pixel_xy"":[579.173334,617.98015],""world_xy_yaw"":[-0.152589,0.610864,1.612448],""pnp_valid"":true,""pnp_camera_xyz"":[-0.231846,0.603922,1.218023],""pnp_camera_quat_xyzw"":[-0.003269,0.046715,0.715257,0.697291],""pnp_camera_rpy_deg"":[3.578731,4.003944,91.582565],""pnp_reprojection_error_px"":0.056753},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":148.833008,""pixel_xy"":[517.589904,614.529074],""world_xy_yaw"":[-0.256049,0.615075,1.617768],""pnp_valid"":true,""pnp_camera_xyz"":[-0.371902,0.599247,1.224096],""pnp_camera_quat_xyzw"":[-0.012568,0.043046,0.716015,0.696644],""pnp_camera_rpy_deg"":[2.537132,4.472136,91.670321],""pnp_reprojection_error_px"":0.084119},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":165.652069,""pixel_xy"":[823.588318,636.332234],""world_xy_yaw"":[0.258028,0.588475,1.696743],""pnp_valid"":true,""pnp_camera_xyz"":[0.315014,0.642528,1.215512],""pnp_camera_quat_xyzw"":[0.023472,0.033823,0.751681,0.658241],""pnp_camera_rpy_deg"":[4.689244,0.529449,97.604918],""pnp_reprojection_error_px"":0.102254}]",1,0.102254,165.652069,89.88907,,0,,0,,
2026-08-12T11:29:26.380125+00:00,6941.663786939,onboard_target_080_static_centered,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001203,21,1,"[15,16,17]","[0.258455,0.588415,1.700502]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":152.550095,""pixel_xy"":[575.970159,618.185819],""world_xy_yaw"":[-0.15797,0.610613,1.61335],""pnp_valid"":true,""pnp_camera_xyz"":[-0.238723,0.603484,1.216424],""pnp_camera_quat_xyzw"":[-0.000807,0.045796,0.716738,0.695837],""pnp_camera_rpy_deg"":[3.707439,3.720532,91.815885],""pnp_reprojection_error_px"":0.048454},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":148.75766,""pixel_xy"":[514.588047,614.331281],""world_xy_yaw"":[-0.261092,0.615316,1.624582],""pnp_valid"":true,""pnp_camera_xyz"":[-0.37788,0.597268,1.220301],""pnp_camera_quat_xyzw"":[-0.005906,0.042799,0.717214,0.695513],""pnp_camera_rpy_deg"":[3.055296,3.899465,91.864171],""pnp_reprojection_error_px"":0.125477},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":160.692978,""pixel_xy"":[823.842058,636.381215],""world_xy_yaw"":[0.258455,0.588415,1.700502],""pnp_valid"":true,""pnp_camera_xyz"":[0.315711,0.642836,1.215985],""pnp_camera_quat_xyzw"":[0.022445,0.033116,0.753357,0.656394],""pnp_camera_rpy_deg"":[4.552061,0.553306,97.891176],""pnp_reprojection_error_px"":0.120101}]",1,0.120101,160.692978,87.619587,,0,,0,,
2026-08-12T11:29:26.430748+00:00,6941.714405286,onboard_target_080_static_centered,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.002282,22,1,"[15,16,17]","[0.258724,0.588371,1.704073]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":153.987915,""pixel_xy"":[574.410251,618.244846],""world_xy_yaw"":[-0.160591,0.610541,1.616452],""pnp_valid"":true,""pnp_camera_xyz"":[-0.242356,0.60401,1.217074],""pnp_camera_quat_xyzw"":[-0.002181,0.044685,0.71738,0.695244],""pnp_camera_rpy_deg"":[3.509281,3.74197,91.910252],""pnp_reprojection_error_px"":0.047438},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":144.43869,""pixel_xy"":[512.900639,614.416211],""world_xy_yaw"":[-0.263927,0.615212,1.621066],""pnp_valid"":true,""pnp_camera_xyz"":[-0.381435,0.597012,1.219762],""pnp_camera_quat_xyzw"":[-0.007497,0.042875,0.717059,0.695652],""pnp_camera_rpy_deg"":[2.933946,4.037228,91.839749],""pnp_reprojection_error_px"":0.06666},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":162.761398,""pixel_xy"":[824.002403,636.417063],""world_xy_yaw"":[0.258724,0.588371,1.704073],""pnp_valid"":true,""pnp_camera_xyz"":[0.316138,0.643081,1.216289],""pnp_camera_quat_xyzw"":[0.02269,0.03275,0.754405,0.655198],""pnp_camera_rpy_deg"":[4.539709,0.497327,98.071317],""pnp_reprojection_error_px"":0.120465}]",1,0.120465,162.761398,89.425203,,0,,0,,
2026-08-12T11:29:26.480333+00:00,6941.763983090,onboard_target_080_static_centered,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001304,24,1,"[15,16,17]","[0.25914,0.588192,1.710087]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":151.831055,""pixel_xy"":[571.425896,618.47951],""world_xy_yaw"":[-0.165605,0.610255,1.620345],""pnp_valid"":true,""pnp_camera_xyz"":[-0.249028,0.604559,1.216998],""pnp_camera_quat_xyzw"":[-0.003421,0.041255,0.71877,0.694014],""pnp_camera_rpy_deg"":[3.133493,3.564961,92.105346],""pnp_reprojection_error_px"":0.050972},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":144.369965,""pixel_xy"":[509.840499,614.585608],""world_xy_yaw"":[-0.269068,0.615006,1.624344],""pnp_valid"":true,""pnp_camera_xyz"":[-0.387632,0.596328,1.217355],""pnp_camera_quat_xyzw"":[-0.005956,0.039959,0.718393,0.694463],""pnp_camera_rpy_deg"":[2.822428,3.67278,92.03119],""pnp_reprojection_error_px"":0.095986},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":163.017197,""pixel_xy"":[824.249971,636.564196],""world_xy_yaw"":[0.25914,0.588192,1.710087],""pnp_valid"":true,""pnp_camera_xyz"":[0.316901,0.643877,1.217139],""pnp_camera_quat_xyzw"":[0.021662,0.033901,0.756446,0.652818],""pnp_camera_rpy_deg"":[4.564209,0.65834,98.43743],""pnp_reprojection_error_px"":0.11671}]",1,0.11671,163.017197,88.070414,,0,,0,,
