host_time_utc,host_monotonic_s,phase,requested_armed,requested_channels_forward_right_down_yaw,sent,transport_open,session_confirmed,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,command_count,rejected_command_count,round_trip_ms,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,yaw_rad,yaw_rate_rad_s,depth_m,pressure_pa,received_channels_forward_right_down_yaw,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available,vision_fresh,vision_age_s,vision_count,vision_stamp_s,vision_frame_id,vision_position_xyz_m,vision_quat_xyzw,vision_covariance_diag,vision_status_age_s,vision_status_count,vision_detected,vision_detected_ids,vision_world_xy_yaw,vision_detections_detail,vision_pnp_valid,vision_pnp_reprojection_error_px,vision_decision_margin,vision_detection_fps,refracted_status_age_s,refracted_status_count,refracted_mode,refracted_valid,refracted_residual_m,refracted_reject_reason
2026-08-11T15:00:04.648625+00:00,1247800.116515240,surge_decay_010,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-11T15:00:04.698952+00:00,1247800.166847859,surge_decay_010,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000884,1,1,"[15,16]","[0.377831,0.93258,-0.614275]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":131.659348,""pixel_xy"":[894.899219,354.278311],""world_xy_yaw"":[0.377831,0.93258,-0.614275],""pnp_valid"":true,""pnp_camera_xyz"":[0.495109,0.01306,1.265889],""pnp_camera_quat_xyzw"":[-0.023325,-0.021367,-0.297302,0.954259],""pnp_camera_rpy_deg"":[-1.825746,-3.13269,-34.55919],""pnp_reprojection_error_px"":0.030617},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":115.822815,""pixel_xy"":[930.802564,404.746823],""world_xy_yaw"":[0.438148,0.871009,-0.615479],""pnp_valid"":true,""pnp_camera_xyz"":[0.57434,0.129632,1.257773],""pnp_camera_quat_xyzw"":[-0.028865,-0.011981,-0.296955,0.95438],""pnp_camera_rpy_deg"":[-2.752319,-2.2931,-34.511964],""pnp_reprojection_error_px"":0.037565}]",1,0.030617,131.659348,93.7606,,0,,0,,
2026-08-11T15:00:04.748570+00:00,1247800.216466151,surge_decay_010,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000423,3,1,"[15,16]","[0.377998,0.932796,-0.614198]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":132.39122,""pixel_xy"":[894.998587,354.102009],""world_xy_yaw"":[0.377998,0.932796,-0.614198],""pnp_valid"":true,""pnp_camera_xyz"":[0.495486,0.012751,1.266088],""pnp_camera_quat_xyzw"":[-0.02362,-0.021171,-0.297284,0.954262],""pnp_camera_rpy_deg"":[-1.864801,-3.121211,-34.556207],""pnp_reprojection_error_px"":0.080513},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":113.848152,""pixel_xy"":[930.918337,404.61898],""world_xy_yaw"":[0.438343,0.871165,-0.616393],""pnp_valid"":true,""pnp_camera_xyz"":[0.57426,0.129294,1.25705],""pnp_camera_quat_xyzw"":[-0.027399,-0.013549,-0.29666,0.954494],""pnp_camera_rpy_deg"":[-2.539326,-2.41405,-34.477354],""pnp_reprojection_error_px"":0.046567}]",1,0.080513,132.39122,92.919216,,0,,0,,
2026-08-11T15:00:04.798862+00:00,1247800.266751258,surge_decay_010,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000852,4,1,"[15,16]","[0.378149,0.932862,-0.612901]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":133.01503,""pixel_xy"":[895.088917,354.047691],""world_xy_yaw"":[0.378149,0.932862,-0.612901],""pnp_valid"":true,""pnp_camera_xyz"":[0.495646,0.012561,1.266109],""pnp_camera_quat_xyzw"":[-0.025234,-0.020169,-0.296724,0.954417],""pnp_camera_rpy_deg"":[-2.07748,-3.065352,-34.484936],""pnp_reprojection_error_px"":0.044612},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":111.38575,""pixel_xy"":[930.983084,404.620294],""world_xy_yaw"":[0.438452,0.871163,-0.614691],""pnp_valid"":true,""pnp_camera_xyz"":[0.574424,0.129178,1.257146],""pnp_camera_quat_xyzw"":[-0.027385,-0.012685,-0.296696,0.954495],""pnp_camera_rpy_deg"":[-2.566942,-2.319176,-34.482779],""pnp_reprojection_error_px"":0.011129}]",1,0.044612,133.01503,95.584859,,0,,0,,
2026-08-11T15:00:04.848601+00:00,1247800.316499509,surge_decay_010,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000431,6,1,"[15,16]","[0.378352,0.933073,-0.6136]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":131.304337,""pixel_xy"":[895.209486,353.87461],""world_xy_yaw"":[0.378352,0.933073,-0.6136],""pnp_valid"":true,""pnp_camera_xyz"":[0.495837,0.012263,1.265851],""pnp_camera_quat_xyzw"":[-0.023904,-0.021456,-0.296267,0.954565],""pnp_camera_rpy_deg"":[-1.889489,-3.160128,-34.433281],""pnp_reprojection_error_px"":0.085921},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":116.157227,""pixel_xy"":[931.097219,404.478107],""world_xy_yaw"":[0.438643,0.871337,-0.616475],""pnp_valid"":true,""pnp_camera_xyz"":[0.574308,0.128833,1.256399],""pnp_camera_quat_xyzw"":[-0.027006,-0.01378,-0.296507,0.954549],""pnp_camera_rpy_deg"":[-2.488767,-2.425584,-34.459489],""pnp_reprojection_error_px"":0.020768}]",1,0.085921,131.304337,94.612326,,0,,0,,
2026-08-11T15:00:04.899085+00:00,1247800.366975309,surge_decay_010,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001140,7,1,"[15,16]","[0.378408,0.933138,-0.611769]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":133.137558,""pixel_xy"":[895.242896,353.821349],""world_xy_yaw"":[0.378408,0.933138,-0.611769],""pnp_valid"":true,""pnp_camera_xyz"":[0.496068,0.012127,1.266076],""pnp_camera_quat_xyzw"":[-0.024478,-0.021673,-0.295983,0.954634],""pnp_camera_rpy_deg"":[-1.946089,-3.20278,-34.397542],""pnp_reprojection_error_px"":0.095937},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":113.237358,""pixel_xy"":[931.132882,404.443554],""world_xy_yaw"":[0.438703,0.871379,-0.614925],""pnp_valid"":true,""pnp_camera_xyz"":[0.574523,0.128725,1.25658],""pnp_camera_quat_xyzw"":[-0.027233,-0.014153,-0.296345,0.954588],""pnp_camera_rpy_deg"":[-2.501474,-2.473689,-34.439186],""pnp_reprojection_error_px"":0.010064}]",1,0.095937,133.137558,95.029431,,0,,0,,
2026-08-11T15:00:04.948644+00:00,1247800.416541517,surge_decay_010,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000423,9,1,"[15,16]","[0.378656,0.933285,-0.613216]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":136.47348,""pixel_xy"":[895.390731,353.700439],""world_xy_yaw"":[0.378656,0.933285,-0.613216],""pnp_valid"":true,""pnp_camera_xyz"":[0.496059,0.011875,1.265226],""pnp_camera_quat_xyzw"":[-0.022512,-0.023114,-0.296023,0.954636],""pnp_camera_rpy_deg"":[-1.681594,-3.294006,-34.407955],""pnp_reprojection_error_px"":0.104008},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":115.141853,""pixel_xy"":[931.233385,404.337937],""world_xy_yaw"":[0.438872,0.871508,-0.614212],""pnp_valid"":true,""pnp_camera_xyz"":[0.57538,0.12864,1.258008],""pnp_camera_quat_xyzw"":[-0.028664,-0.01263,-0.29608,0.954649],""pnp_camera_rpy_deg"":[-2.710465,-2.354798,-34.406322],""pnp_reprojection_error_px"":0.003685}]",1,0.104008,136.47348,93.977426,,0,,0,,
2026-08-11T15:00:04.999537+00:00,1247800.467420957,surge_decay_010,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001357,10,1,"[15,16]","[0.378769,0.933346,-0.613174]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":134.022476,""pixel_xy"":[895.457599,353.650445],""world_xy_yaw"":[0.378769,0.933346,-0.613174],""pnp_valid"":true,""pnp_camera_xyz"":[0.495806,0.011738,1.264205],""pnp_camera_quat_xyzw"":[-0.0221,-0.02406,-0.295792,0.954694],""pnp_camera_rpy_deg"":[-1.605264,-3.383188,-34.381571],""pnp_reprojection_error_px"":0.098635},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":115.607254,""pixel_xy"":[931.287648,404.321528],""world_xy_yaw"":[0.438963,0.871528,-0.613749],""pnp_valid"":true,""pnp_camera_xyz"":[0.575522,0.12857,1.258082],""pnp_camera_quat_xyzw"":[-0.027993,-0.012287,-0.296139,0.954655],""pnp_camera_rpy_deg"":[-2.648407,-2.294669,-34.415283],""pnp_reprojection_error_px"":0.018514}]",1,0.098635,134.022476,94.134375,,0,,0,,
2026-08-11T15:00:05.048605+00:00,1247800.516503305,surge_decay_010,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000459,12,1,"[15,16]","[0.378998,0.933436,-0.612348]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":132.932297,""pixel_xy"":[895.593815,353.576667],""world_xy_yaw"":[0.378998,0.933436,-0.612348],""pnp_valid"":true,""pnp_camera_xyz"":[0.496239,0.011504,1.264527],""pnp_camera_quat_xyzw"":[-0.022012,-0.024113,-0.295717,0.954718],""pnp_camera_rpy_deg"":[-1.594031,-3.385843,-34.372836],""pnp_reprojection_error_px"":0.074497},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":119.974388,""pixel_xy"":[931.374148,404.211711],""world_xy_yaw"":[0.439109,0.871662,-0.61376],""pnp_valid"":true,""pnp_camera_xyz"":[0.575646,0.128329,1.257866],""pnp_camera_quat_xyzw"":[-0.028289,-0.013268,-0.295766,0.954749],""pnp_camera_rpy_deg"":[-2.64857,-2.411091,-34.368578],""pnp_reprojection_error_px"":0.000703}]",1,0.074497,132.932297,93.786312,,0,,0,,
2026-08-11T15:00:05.098785+00:00,1247800.566681018,surge_decay_010,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000843,13,1,"[15,16]","[0.379078,0.933437,-0.610088]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":133.621704,""pixel_xy"":[895.641494,353.576627],""world_xy_yaw"":[0.379078,0.933437,-0.610088],""pnp_valid"":true,""pnp_camera_xyz"":[0.496618,0.011413,1.265121],""pnp_camera_quat_xyzw"":[-0.024178,-0.022474,-0.295839,0.954667],""pnp_camera_rpy_deg"":[-1.886486,-3.280062,-34.381064],""pnp_reprojection_error_px"":0.066301},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":121.441017,""pixel_xy"":[931.446804,404.204056],""world_xy_yaw"":[0.439231,0.871671,-0.614773],""pnp_valid"":true,""pnp_camera_xyz"":[0.575451,0.128167,1.257164],""pnp_camera_quat_xyzw"":[-0.027994,-0.014027,-0.296098,0.954644],""pnp_camera_rpy_deg"":[-2.589806,-2.485093,-34.408074],""pnp_reprojection_error_px"":0.035833}]",1,0.066301,133.621704,92.650843,,0,,0,,
2026-08-11T15:00:05.148530+00:00,1247800.616428832,surge_decay_010,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000442,15,1,"[15,16]","[0.379322,0.933544,-0.611904]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":131.655411,""pixel_xy"":[895.786784,353.488632],""world_xy_yaw"":[0.379322,0.933544,-0.611904],""pnp_valid"":true,""pnp_camera_xyz"":[0.496566,0.011237,1.264275],""pnp_camera_quat_xyzw"":[-0.022259,-0.02416,-0.295663,0.954727],""pnp_camera_rpy_deg"":[-1.619698,-3.399381,-34.365682],""pnp_reprojection_error_px"":0.05074},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":117.252373,""pixel_xy"":[931.521277,404.108238],""world_xy_yaw"":[0.439356,0.871788,-0.612745],""pnp_valid"":true,""pnp_camera_xyz"":[0.576308,0.128136,1.258501],""pnp_camera_quat_xyzw"":[-0.028962,-0.013877,-0.295418,0.954828],""pnp_camera_rpy_deg"":[-2.702698,-2.499628,-34.324525],""pnp_reprojection_error_px"":0.016525}]",1,0.05074,131.655411,95.249457,,0,,0,,
2026-08-11T15:00:05.200451+00:00,1247800.668331402,surge_decay_010,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.002079,16,1,"[15,16]","[0.379416,0.933585,-0.61097]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":131.987457,""pixel_xy"":[895.842609,353.454765],""world_xy_yaw"":[0.379416,0.933585,-0.61097],""pnp_valid"":true,""pnp_camera_xyz"":[0.497137,0.011156,1.265421],""pnp_camera_quat_xyzw"":[-0.02408,-0.022315,-0.295592,0.95475],""pnp_camera_rpy_deg"":[-1.882065,-3.258838,-34.351703],""pnp_reprojection_error_px"":0.044724},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":117.437126,""pixel_xy"":[931.562582,404.070552],""world_xy_yaw"":[0.439425,0.871834,-0.613046],""pnp_valid"":true,""pnp_camera_xyz"":[0.575249,0.127819,1.255936],""pnp_camera_quat_xyzw"":[-0.026815,-0.015542,-0.295163,0.954944],""pnp_camera_rpy_deg"":[-2.411876,-2.608592,-34.296693],""pnp_reprojection_error_px"":0.023017}]",1,0.044724,131.987457,94.532819,,0,,0,,
2026-08-11T15:00:05.250454+00:00,1247800.718336319,surge_decay_010,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001427,18,1,"[15,16]","[0.379625,0.933641,-0.61104]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":131.922104,""pixel_xy"":[895.967428,353.408958],""world_xy_yaw"":[0.379625,0.933641,-0.61104],""pnp_valid"":true,""pnp_camera_xyz"":[0.497124,0.01104,1.26476],""pnp_camera_quat_xyzw"":[-0.022488,-0.023446,-0.295085,0.954918],""pnp_camera_rpy_deg"":[-1.671002,-3.327878,-34.295436],""pnp_reprojection_error_px"":0.031173},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":117.949203,""pixel_xy"":[931.651136,404.018659],""world_xy_yaw"":[0.439574,0.871897,-0.612432],""pnp_valid"":true,""pnp_camera_xyz"":[0.575855,0.127809,1.256843],""pnp_camera_quat_xyzw"":[-0.027715,-0.014808,-0.294832,0.955032],""pnp_camera_rpy_deg"":[-2.536165,-2.557813,-34.255798],""pnp_reprojection_error_px"":0.020912}]",1,0.031173,131.922104,95.190139,,0,,0,,
2026-08-11T15:00:05.300370+00:00,1247800.768253233,surge_decay_010,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.002048,19,1,"[15,16]","[0.379735,0.933715,-0.611275]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":130.73436,""pixel_xy"":[896.033001,353.348064],""world_xy_yaw"":[0.379735,0.933715,-0.611275],""pnp_valid"":true,""pnp_camera_xyz"":[0.497458,0.010934,1.265183],""pnp_camera_quat_xyzw"":[-0.023815,-0.022884,-0.295212,0.954861],""pnp_camera_rpy_deg"":[-1.835027,-3.311382,-34.306771],""pnp_reprojection_error_px"":0.045958},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":115.693382,""pixel_xy"":[931.72754,404.005883],""world_xy_yaw"":[0.439702,0.871913,-0.612264],""pnp_valid"":true,""pnp_camera_xyz"":[0.576706,0.12793,1.25846],""pnp_camera_quat_xyzw"":[-0.029528,-0.013206,-0.294639,0.955061],""pnp_camera_rpy_deg"":[-2.789416,-2.442954,-34.230785],""pnp_reprojection_error_px"":0.014438}]",1,0.045958,130.73436,96.125756,,0,,0,,
2026-08-11T15:00:05.349711+00:00,1247800.817600468,surge_decay_010,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001044,21,1,"[15,16]","[0.379886,0.933771,-0.609409]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":133.067551,""pixel_xy"":[896.12284,353.30235],""world_xy_yaw"":[0.379886,0.933771,-0.609409],""pnp_valid"":true,""pnp_camera_xyz"":[0.498115,0.01085,1.266292],""pnp_camera_quat_xyzw"":[-0.02417,-0.021096,-0.294785,0.955025],""pnp_camera_rpy_deg"":[-1.935694,-3.126734,-34.25471],""pnp_reprojection_error_px"":0.053651},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":116.576828,""pixel_xy"":[931.761282,403.94696],""world_xy_yaw"":[0.439759,0.871985,-0.611118],""pnp_valid"":true,""pnp_camera_xyz"":[0.576377,0.127708,1.257352],""pnp_camera_quat_xyzw"":[-0.028228,-0.014647,-0.294445,0.955139],""pnp_camera_rpy_deg"":[-2.598872,-2.556432,-34.208347],""pnp_reprojection_error_px"":0.036377}]",1,0.053651,133.067551,95.849665,,0,,0,,
2026-08-11T15:00:05.400637+00:00,1247800.868517988,surge_decay_010,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.002240,22,1,"[15,16]","[0.379989,0.93381,-0.60938]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":132.607788,""pixel_xy"":[896.183736,353.270461],""world_xy_yaw"":[0.379989,0.93381,-0.60938],""pnp_valid"":true,""pnp_camera_xyz"":[0.498402,0.010777,1.266702],""pnp_camera_quat_xyzw"":[-0.02503,-0.019578,-0.294979,0.954975],""pnp_camera_rpy_deg"":[-2.08055,-2.989905,-34.276165],""pnp_reprojection_error_px"":0.049655},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":114.577438,""pixel_xy"":[931.826771,403.955001],""world_xy_yaw"":[0.439869,0.871975,-0.61085],""pnp_valid"":true,""pnp_camera_xyz"":[0.576751,0.127746,1.25795],""pnp_camera_quat_xyzw"":[-0.02816,-0.013545,-0.29451,0.955137],""pnp_camera_rpy_deg"":[-2.628324,-2.433625,-34.217681],""pnp_reprojection_error_px"":0.010347}]",1,0.049655,132.607788,96.671955,,0,,0,,
2026-08-11T15:00:05.450450+00:00,1247800.918331944,surge_decay_010,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001411,24,1,"[15,16]","[0.380117,0.933868,-0.608983]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":135.060959,""pixel_xy"":[896.260392,353.22274],""world_xy_yaw"":[0.380117,0.933868,-0.608983],""pnp_valid"":true,""pnp_camera_xyz"":[0.498491,0.01067,1.266394],""pnp_camera_quat_xyzw"":[-0.024389,-0.020758,-0.294775,0.95503],""pnp_camera_rpy_deg"":[-1.971215,-3.097122,-34.252982],""pnp_reprojection_error_px"":0.059325},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":116.286705,""pixel_xy"":[931.855718,403.893],""world_xy_yaw"":[0.439918,0.872051,-0.610442],""pnp_valid"":true,""pnp_camera_xyz"":[0.577052,0.127735,1.258422],""pnp_camera_quat_xyzw"":[-0.028532,-0.012862,-0.294151,0.955247],""pnp_camera_rpy_deg"":[-2.69294,-2.370346,-34.174775],""pnp_reprojection_error_px"":0.040612}]",1,0.059325,135.060959,96.615124,,0,,0,,
2026-08-11T15:00:05.500261+00:00,1247800.968143435,surge_decay_010,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.002053,25,1,"[15,16]","[0.380174,0.933915,-0.608502]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":133.884064,""pixel_xy"":[896.294052,353.18433],""world_xy_yaw"":[0.380174,0.933915,-0.608502],""pnp_valid"":true,""pnp_camera_xyz"":[0.498534,0.010599,1.266356],""pnp_camera_quat_xyzw"":[-0.024366,-0.020432,-0.294355,0.955167],""pnp_camera_rpy_deg"":[-1.980977,-3.059669,-34.202671],""pnp_reprojection_error_px"":0.061613},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":117.322342,""pixel_xy"":[931.876716,403.865083],""world_xy_yaw"":[0.439953,0.872085,-0.610239],""pnp_valid"":true,""pnp_camera_xyz"":[0.577052,0.127672,1.258282],""pnp_camera_quat_xyzw"":[-0.027172,-0.01141,-0.294708,0.955133],""pnp_camera_rpy_deg"":[-2.591431,-2.166983,-34.246422],""pnp_reprojection_error_px"":0.049644}]",1,0.061613,133.884064,96.154933,,0,,0,,
2026-08-11T15:00:05.550152+00:00,1247801.018034247,surge_decay_010,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001406,27,1,"[15,16]","[0.380305,0.933999,-0.609039]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":135.523422,""pixel_xy"":[896.372276,353.1155],""world_xy_yaw"":[0.380305,0.933999,-0.609039],""pnp_valid"":true,""pnp_camera_xyz"":[0.498718,0.010447,1.266408],""pnp_camera_quat_xyzw"":[-0.023272,-0.021131,-0.294284,0.955201],""pnp_camera_rpy_deg"":[-1.837674,-3.099267,-34.196967],""pnp_reprojection_error_px"":0.061766},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":114.641685,""pixel_xy"":[931.906177,403.843242],""world_xy_yaw"":[0.440002,0.872111,-0.609031],""pnp_valid"":true,""pnp_camera_xyz"":[0.576767,0.127493,1.257467],""pnp_camera_quat_xyzw"":[-0.027217,-0.012775,-0.294139,0.95529],""pnp_camera_rpy_deg"":[-2.551771,-2.316446,-34.176149],""pnp_reprojection_error_px"":0.040911}]",1,0.061766,135.523422,95.41877,,0,,0,,
2026-08-11T15:00:05.599872+00:00,1247801.067767686,surge_decay_010,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001524,28,1,"[15,16]","[0.38031,0.934019,-0.607773]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":139.954361,""pixel_xy"":[896.374977,353.099347],""world_xy_yaw"":[0.38031,0.934019,-0.607773],""pnp_valid"":true,""pnp_camera_xyz"":[0.498631,0.010394,1.266071],""pnp_camera_quat_xyzw"":[-0.023805,-0.021733,-0.293938,0.955281],""pnp_camera_rpy_deg"":[-1.877061,-3.182452,-34.153926],""pnp_reprojection_error_px"":0.064621},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":116.121384,""pixel_xy"":[931.912063,403.809684],""world_xy_yaw"":[0.440012,0.872152,-0.609027],""pnp_valid"":true,""pnp_camera_xyz"":[0.576818,0.127424,1.257486],""pnp_camera_quat_xyzw"":[-0.027411,-0.013019,-0.29425,0.955247],""pnp_camera_rpy_deg"":[-2.564578,-2.350013,-34.18874],""pnp_reprojection_error_px"":0.053147}]",1,0.064621,139.954361,96.632346,,0,,0,,
