host_time_utc,host_monotonic_s,phase,requested_armed,requested_channels_forward_right_down_yaw,sent,transport_open,session_confirmed,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,command_count,rejected_command_count,round_trip_ms,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,yaw_rad,yaw_rate_rad_s,depth_m,pressure_pa,received_channels_forward_right_down_yaw,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available,vision_fresh,vision_age_s,vision_count,vision_stamp_s,vision_frame_id,vision_position_xyz_m,vision_quat_xyzw,vision_covariance_diag,vision_status_age_s,vision_status_count,vision_detected,vision_detected_ids,vision_world_xy_yaw,vision_detections_detail,vision_pnp_valid,vision_pnp_reprojection_error_px,vision_decision_margin,vision_detection_fps,refracted_status_age_s,refracted_status_count,refracted_mode,refracted_valid,refracted_residual_m,refracted_reject_reason
2026-08-12T15:25:59.189847+00:00,21134.473515895,onboard_overhead_fish_dynamic,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-12T15:25:59.241156+00:00,21134.524822835,onboard_overhead_fish_dynamic,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.001440,1,1786548359.196939945,finsrov_stereo_left_optical,"[0.04014520224509366,-0.10320159767711012,0.34219612485286555]","[0.0,0.0,0.0,1.0]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000748,2,1,"[16,17]","[0.248056,0.571467,0.06724]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":149.299835,""pixel_xy"":[817.652185,650.272588],""world_xy_yaw"":[0.248056,0.571467,0.06724],""pnp_valid"":true,""pnp_camera_xyz"":[0.318404,0.711029,1.282336],""pnp_camera_quat_xyzw"":[-0.054242,0.002126,0.033493,0.997964],""pnp_camera_rpy_deg"":[-6.207173,0.451353,3.8199],""pnp_reprojection_error_px"":0.040237},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":141.003143,""pixel_xy"":[826.647832,350.79732],""world_xy_yaw"":[0.263168,0.936827,1.322109],""pnp_valid"":true,""pnp_camera_xyz"":[0.335697,0.004947,1.261281],""pnp_camera_quat_xyzw"":[-0.024878,-0.017858,0.614711,0.788158],""pnp_camera_rpy_deg"":[-3.506975,0.139597,75.899524],""pnp_reprojection_error_px"":0.037236}]",1,0.040237,149.299835,91.592776,,0,,0,,
2026-08-12T15:25:59.292239+00:00,21134.575895650,onboard_overhead_fish_dynamic,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.002288,2,1786548359.247008085,finsrov_stereo_left_optical,"[0.02986866830897328,-0.15251690566761034,0.3316638801428595]","[0.0,0.0,0.0,1.0]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.002004,3,1,"[16,17]","[0.247947,0.571642,0.061825]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":148.1436,""pixel_xy"":[817.587588,650.129649],""world_xy_yaw"":[0.247947,0.571642,0.061825],""pnp_valid"":true,""pnp_camera_xyz"":[0.315969,0.705428,1.272783],""pnp_camera_quat_xyzw"":[-0.047823,-0.004969,0.033571,0.998279],""pnp_camera_rpy_deg"":[-5.498329,-0.38448,3.870564],""pnp_reprojection_error_px"":0.009264},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":139.132751,""pixel_xy"":[827.100527,350.664788],""world_xy_yaw"":[0.263929,0.936989,1.326125],""pnp_valid"":true,""pnp_camera_xyz"":[0.336604,0.004694,1.260809],""pnp_camera_quat_xyzw"":[-0.025642,-0.018245,0.615887,0.787206],""pnp_camera_rpy_deg"":[-3.603113,0.163901,76.071994],""pnp_reprojection_error_px"":0.025226}]",1,0.009264,148.1436,92.302746,,0,,0,,
2026-08-12T15:25:59.342051+00:00,21134.625707842,onboard_overhead_fish_dynamic,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.002097,3,1786548359.297040462,finsrov_stereo_left_optical,"[0.02485321584112321,-0.17112388596957417,0.32675683738956807]","[0.0,0.0,0.0,1.0]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.001175,5,1,"[16,17]","[0.247727,0.57191,0.072668]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":151.735458,""pixel_xy"":[817.456686,649.909867],""world_xy_yaw"":[0.247727,0.57191,0.072668],""pnp_valid"":true,""pnp_camera_xyz"":[0.318485,0.710554,1.283303],""pnp_camera_quat_xyzw"":[-0.058515,-0.004911,0.036305,0.997614],""pnp_camera_rpy_deg"":[-6.725295,-0.318023,4.187088],""pnp_reprojection_error_px"":0.113774},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":142.043304,""pixel_xy"":[827.975715,350.445099],""world_xy_yaw"":[0.265399,0.937257,1.329124],""pnp_valid"":true,""pnp_camera_xyz"":[0.338575,0.004185,1.260779],""pnp_camera_quat_xyzw"":[-0.025422,-0.018898,0.617011,0.786317],""pnp_camera_rpy_deg"":[-3.629285,0.094648,76.238475],""pnp_reprojection_error_px"":0.00769}]",1,0.113774,151.735458,90.461025,,0,,0,,
2026-08-12T15:25:59.392172+00:00,21134.675830828,onboard_overhead_fish_dynamic,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.002117,4,1786548359.346975803,finsrov_stereo_left_optical,"[0.029819911638757857,-0.14507233331122438,0.33227379131619605]","[0.0,0.0,0.0,1.0]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.001859,6,1,"[16,17]","[0.247701,0.572091,0.073575]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":148.008072,""pixel_xy"":[817.441071,649.761375],""world_xy_yaw"":[0.247701,0.572091,0.073575],""pnp_valid"":true,""pnp_camera_xyz"":[0.320765,0.715573,1.292741],""pnp_camera_quat_xyzw"":[-0.06533,-0.008506,0.038513,0.997084],""pnp_camera_rpy_deg"":[-7.524156,-0.683584,4.468919],""pnp_reprojection_error_px"":0.083749},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":141.126755,""pixel_xy"":[828.379691,350.286063],""world_xy_yaw"":[0.266078,0.937451,1.329985],""pnp_valid"":true,""pnp_camera_xyz"":[0.339568,0.003837,1.260749],""pnp_camera_quat_xyzw"":[-0.026395,-0.017248,0.617419,0.786002],""pnp_camera_rpy_deg"":[-3.600118,0.31391,76.290684],""pnp_reprojection_error_px"":0.037539}]",1,0.083749,148.008072,90.57251,,0,,0,,
2026-08-12T15:25:59.442101+00:00,21134.725759020,onboard_overhead_fish_dynamic,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.002181,5,1786548359.396961212,finsrov_stereo_left_optical,"[0.03422652050876979,-0.12547031374329332,0.33667400542432063]","[0.0,0.0,0.0,1.0]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.001165,8,1,"[15,16,17]","[0.247831,0.572361,0.066339]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":123.540924,""pixel_xy"":[819.86694,588.373285],""world_xy_yaw"":[0.251776,0.646985,0.053289],""pnp_valid"":true,""pnp_camera_xyz"":[0.335187,0.584767,1.327665],""pnp_camera_quat_xyzw"":[-0.055161,-0.02215,0.035697,0.997593],""pnp_camera_rpy_deg"":[-6.41491,-2.307038,4.228025],""pnp_reprojection_error_px"":0.095138},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":150.436798,""pixel_xy"":[817.518701,649.540508],""world_xy_yaw"":[0.247831,0.572361,0.066339],""pnp_valid"":true,""pnp_camera_xyz"":[0.32459,0.723482,1.307743],""pnp_camera_quat_xyzw"":[-0.067846,-0.01543,0.039125,0.996809],""pnp_camera_rpy_deg"":[-7.845942,-1.458446,4.595495],""pnp_reprojection_error_px"":0.06774},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":140.222778,""pixel_xy"":[829.305823,349.972767],""world_xy_yaw"":[0.267634,0.937833,1.329508],""pnp_valid"":true,""pnp_camera_xyz"":[0.341843,0.003113,1.261385],""pnp_camera_quat_xyzw"":[-0.025377,-0.014959,0.617561,0.785971],""pnp_camera_rpy_deg"":[-3.346175,0.44861,76.302487],""pnp_reprojection_error_px"":0.023842}]",1,0.06774,150.436798,91.780373,,0,,0,,
2026-08-12T15:25:59.492404+00:00,21134.776057307,onboard_overhead_fish_dynamic,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.002360,6,1786548359.446957350,finsrov_stereo_left_optical,"[0.03677206912208797,-0.10667066324140007,0.34324278444998985]","[0.0,0.0,0.0,1.0]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.002077,9,1,"[15,16,17]","[0.247986,0.572443,0.06137]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":117.43325,""pixel_xy"":[819.833365,588.420231],""world_xy_yaw"":[0.25172,0.646927,0.061245],""pnp_valid"":true,""pnp_camera_xyz"":[0.335096,0.584333,1.326785],""pnp_camera_quat_xyzw"":[-0.060788,-0.0204,0.036357,0.99728],""pnp_camera_rpy_deg"":[-7.054326,-2.07856,4.303859],""pnp_reprojection_error_px"":0.137324},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":149.790314,""pixel_xy"":[817.610858,649.472711],""world_xy_yaw"":[0.247986,0.572443,0.06137],""pnp_valid"":true,""pnp_camera_xyz"":[0.32605,0.726351,1.313173],""pnp_camera_quat_xyzw"":[-0.066042,-0.01423,0.037425,0.997013],""pnp_camera_rpy_deg"":[-7.63086,-1.342694,4.388994],""pnp_reprojection_error_px"":0.060125},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":143.96521,""pixel_xy"":[829.79844,349.831054],""world_xy_yaw"":[0.268461,0.938006,1.329236],""pnp_valid"":true,""pnp_camera_xyz"":[0.343026,0.002739,1.261505],""pnp_camera_quat_xyzw"":[-0.026639,-0.012723,0.618306,0.785383],""pnp_camera_rpy_deg"":[-3.300971,0.742397,76.402985],""pnp_reprojection_error_px"":0.021246}]",1,0.060125,149.790314,90.640424,,0,,0,,
2026-08-12T15:25:59.542054+00:00,21134.825711395,onboard_overhead_fish_dynamic,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.002106,7,1786548359.496974945,finsrov_stereo_left_optical,"[0.03508795042488827,-0.10352086004192129,0.3458111386415056]","[0.0,0.0,0.0,1.0]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.001174,11,1,"[16,17]","[0.248077,0.572408,0.065775]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":152.003433,""pixel_xy"":[817.665165,649.501578],""world_xy_yaw"":[0.248077,0.572408,0.065775],""pnp_valid"":true,""pnp_camera_xyz"":[0.327743,0.729622,1.319027],""pnp_camera_quat_xyzw"":[-0.067871,-0.003619,0.033166,0.997136],""pnp_camera_rpy_deg"":[-7.792997,-0.155611,3.820661],""pnp_reprojection_error_px"":0.064766},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":140.556046,""pixel_xy"":[830.86305,349.498595],""world_xy_yaw"":[0.27025,0.938412,1.331418],""pnp_valid"":true,""pnp_camera_xyz"":[0.345473,0.001965,1.261389],""pnp_camera_quat_xyzw"":[-0.028135,-0.010588,0.619669,0.784287],""pnp_camera_rpy_deg"":[-3.282775,1.046374,76.594836],""pnp_reprojection_error_px"":0.027658}]",1,0.064766,152.003433,91.07074,,0,,0,,
2026-08-12T15:25:59.592048+00:00,21134.875704248,onboard_overhead_fish_dynamic,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.002075,8,1786548359.546947718,finsrov_stereo_left_optical,"[0.029621390682322002,-0.09422028360207457,0.3492858297208596]","[0.0,0.0,0.0,1.0]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.001834,12,1,"[16,17]","[0.248207,0.572331,0.066636]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":148.478409,""pixel_xy"":[817.742463,649.565053],""world_xy_yaw"":[0.248207,0.572331,0.066636],""pnp_valid"":true,""pnp_camera_xyz"":[0.326848,0.727506,1.314878],""pnp_camera_quat_xyzw"":[-0.068234,0.00039,0.032208,0.997149],""pnp_camera_rpy_deg"":[-7.819665,0.296362,3.679775],""pnp_reprojection_error_px"":0.060245},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":144.893021,""pixel_xy"":[831.443805,349.411852],""world_xy_yaw"":[0.271226,0.938518,1.335025],""pnp_valid"":true,""pnp_camera_xyz"":[0.347053,0.001802,1.262285],""pnp_camera_quat_xyzw"":[-0.027507,-0.008976,0.620998,0.783278],""pnp_camera_rpy_deg"":[-3.109845,1.15191,76.784911],""pnp_reprojection_error_px"":0.027542}]",1,0.060245,148.478409,91.883916,,0,,0,,
2026-08-12T15:25:59.641757+00:00,21134.925413387,onboard_overhead_fish_dynamic,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.002103,9,1786548359.597027302,finsrov_stereo_left_optical,"[0.026019878641702077,-0.0989055954299819,0.3482380592737404]","[0.0,0.0,0.0,1.0]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.001171,14,1,"[16,17]","[0.24855,0.571946,0.06356]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":146.865448,""pixel_xy"":[817.946513,649.879985],""world_xy_yaw"":[0.24855,0.571946,0.06356],""pnp_valid"":true,""pnp_camera_xyz"":[0.322219,0.71667,1.294724],""pnp_camera_quat_xyzw"":[-0.056439,-0.003711,0.034279,0.99781],""pnp_camera_rpy_deg"":[-6.4817,-0.202579,3.94668],""pnp_reprojection_error_px"":0.121139},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":141.108475,""pixel_xy"":[832.65775,349.313578],""world_xy_yaw"":[0.273265,0.938637,1.340429],""pnp_valid"":true,""pnp_camera_xyz"":[0.349473,0.00159,1.260837],""pnp_camera_quat_xyzw"":[-0.028489,-0.012259,0.622547,0.781968],""pnp_camera_rpy_deg"":[-3.429816,0.933943,77.020606],""pnp_reprojection_error_px"":0.036131}]",1,0.121139,146.865448,91.383284,,0,,0,,
2026-08-12T15:25:59.691076+00:00,21134.974744826,onboard_overhead_fish_dynamic,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.001293,10,1786548359.646942139,finsrov_stereo_left_optical,"[0.02066372081975304,-0.1356230936125219,0.34002822734009547]","[0.0,0.0,0.0,1.0]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.001101,15,1,"[16,17]","[0.248575,0.572036,0.060813]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":148.131973,""pixel_xy"":[817.96121,649.806883],""world_xy_yaw"":[0.248575,0.572036,0.060813],""pnp_valid"":true,""pnp_camera_xyz"":[0.321029,0.713853,1.289547],""pnp_camera_quat_xyzw"":[-0.056228,-0.007673,0.03414,0.997805],""pnp_camera_rpy_deg"":[-6.473317,-0.657397,3.956459],""pnp_reprojection_error_px"":0.029942},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":140.283356,""pixel_xy"":[833.286494,349.246581],""world_xy_yaw"":[0.274321,0.938719,1.344435],""pnp_valid"":true,""pnp_camera_xyz"":[0.351133,0.00145,1.261737],""pnp_camera_quat_xyzw"":[-0.027569,-0.013643,0.623743,0.781024],""pnp_camera_rpy_deg"":[-3.444926,0.749478,77.200802],""pnp_reprojection_error_px"":0.030994}]",1,0.029942,148.131973,92.250604,,0,,0,,
2026-08-12T15:25:59.741253+00:00,21135.024917120,onboard_overhead_fish_dynamic,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.001522,11,1786548359.697135687,finsrov_stereo_left_optical,"[0.01676794574823337,-0.1421712392345672,0.3382603914922452]","[0.0,0.0,0.0,1.0]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000823,17,1,"[16,17]","[0.248534,0.57209,0.059786]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":150.654099,""pixel_xy"":[817.937216,649.761935],""world_xy_yaw"":[0.248534,0.57209,0.059786],""pnp_valid"":true,""pnp_camera_xyz"":[0.321392,0.714564,1.291123],""pnp_camera_quat_xyzw"":[-0.06785,-0.008748,0.033604,0.997091],""pnp_camera_rpy_deg"":[-7.810957,-0.738298,3.910878],""pnp_reprojection_error_px"":0.054017},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":143.448761,""pixel_xy"":[834.435853,349.047899],""world_xy_yaw"":[0.276252,0.938962,1.353701],""pnp_valid"":true,""pnp_camera_xyz"":[0.353683,0.001039,1.261172],""pnp_camera_quat_xyzw"":[-0.026892,-0.017626,0.626118,0.779065],""pnp_camera_rpy_deg"":[-3.667942,0.355846,77.564752],""pnp_reprojection_error_px"":0.059658}]",1,0.054017,150.654099,93.592874,,0,,0,,
2026-08-12T15:25:59.791287+00:00,21135.074950370,onboard_overhead_fish_dynamic,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.001534,12,1786548359.746951818,finsrov_stereo_left_optical,"[0.01396221035330969,-0.1233196483492146,0.34003067041303214]","[0.0,0.0,0.0,1.0]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.001341,18,1,"[16,17]","[0.248576,0.572317,0.056947]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":149.523788,""pixel_xy"":[817.961911,649.576024],""world_xy_yaw"":[0.248576,0.572317,0.056947],""pnp_valid"":true,""pnp_camera_xyz"":[0.321511,0.714547,1.291694],""pnp_camera_quat_xyzw"":[-0.068587,-0.011069,0.03421,0.996997],""pnp_camera_rpy_deg"":[-7.905503,-0.99583,3.999277],""pnp_reprojection_error_px"":0.02129},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":139.501053,""pixel_xy"":[835.021369,348.91297],""world_xy_yaw"":[0.277236,0.939126,1.356766],""pnp_valid"":true,""pnp_camera_xyz"":[0.355158,0.000694,1.261734],""pnp_camera_quat_xyzw"":[-0.027716,-0.018206,0.627637,0.7778],""pnp_camera_rpy_deg"":[-3.782491,0.370683,77.790573],""pnp_reprojection_error_px"":0.040764}]",1,0.02129,149.523788,94.132399,,0,,0,,
2026-08-12T15:25:59.841595+00:00,21135.125254369,onboard_overhead_fish_dynamic,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.001787,13,1786548359.797059774,finsrov_stereo_left_optical,"[0.013175868973091642,-0.12214161465009288,0.3404683773948454]","[0.0,0.0,0.0,1.0]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000972,20,1,"[15,16,17]","[0.248377,0.572476,0.06524]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":105.482544,""pixel_xy"":[820.003164,588.076539],""world_xy_yaw"":[0.252005,0.647347,0.055204],""pnp_valid"":true,""pnp_camera_xyz"":[0.332669,0.57893,1.315771],""pnp_camera_quat_xyzw"":[-0.050884,-0.018456,0.033517,0.997971],""pnp_camera_rpy_deg"":[-5.903632,-1.915509,3.945948],""pnp_reprojection_error_px"":0.025997},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":149.521408,""pixel_xy"":[817.843528,649.445876],""world_xy_yaw"":[0.248377,0.572476,0.06524],""pnp_valid"":true,""pnp_camera_xyz"":[0.323173,0.718171,1.298467],""pnp_camera_quat_xyzw"":[-0.065714,-0.013785,0.036648,0.99707],""pnp_camera_rpy_deg"":[-7.590278,-1.299188,4.296185],""pnp_reprojection_error_px"":0.117171},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":137.407516,""pixel_xy"":[836.156344,348.635478],""world_xy_yaw"":[0.279143,0.939465,1.365624],""pnp_valid"":true,""pnp_camera_xyz"":[0.35777,5.6e-05,1.261592],""pnp_camera_quat_xyzw"":[-0.027597,-0.023572,0.630005,0.775742],""pnp_camera_rpy_deg"":[-4.1586,-0.103014,78.166059],""pnp_reprojection_error_px"":0.04892}]",1,0.117171,149.521408,92.452164,,0,,0,,
2026-08-12T15:25:59.892057+00:00,21135.175697988,onboard_overhead_fish_dynamic,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.002089,14,1786548359.846956968,finsrov_stereo_left_optical,"[0.010648564479937173,-0.13692592388464042,0.3422700998922428]","[0.0,0.0,0.0,1.0]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.001842,21,1,"[15,16,17]","[0.248236,0.572402,0.066159]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":111.057549,""pixel_xy"":[820.026651,588.164261],""world_xy_yaw"":[0.252045,0.64724,0.054008],""pnp_valid"":true,""pnp_camera_xyz"":[0.330293,0.57462,1.305585],""pnp_camera_quat_xyzw"":[-0.040915,-0.021,0.032747,0.998405],""pnp_camera_rpy_deg"":[-4.768964,-2.249629,3.850855],""pnp_reprojection_error_px"":0.079242},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":149.696365,""pixel_xy"":[817.759647,649.506884],""world_xy_yaw"":[0.248236,0.572402,0.066159],""pnp_valid"":true,""pnp_camera_xyz"":[0.323916,0.720115,1.301558],""pnp_camera_quat_xyzw"":[-0.064012,-0.017291,0.036862,0.997118],""pnp_camera_rpy_deg"":[-7.411021,-1.705585,4.34482],""pnp_reprojection_error_px"":0.201437},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":138.717072,""pixel_xy"":[836.732925,348.51592],""world_xy_yaw"":[0.280111,0.939611,1.367081],""pnp_valid"":true,""pnp_camera_xyz"":[0.359442,-0.000221,1.262814],""pnp_camera_quat_xyzw"":[-0.026925,-0.022319,0.630728,0.775215],""pnp_camera_rpy_deg"":[-4.008198,-0.036592,78.266063],""pnp_reprojection_error_px"":0.047511}]",1,0.201437,149.696365,92.301207,,0,,0,,
2026-08-12T15:25:59.942000+00:00,21135.225657626,onboard_overhead_fish_dynamic,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.002086,15,1786548359.897001505,finsrov_stereo_left_optical,"[0.004398833060598406,-0.15977580377699696,0.3386462201351404]","[0.0,0.0,0.0,1.0]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.001150,23,1,"[15,16,17]","[0.248518,0.572099,0.059309]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":105.22821,""pixel_xy"":[820.145197,588.306146],""world_xy_yaw"":[0.252244,0.647067,0.059912],""pnp_valid"":true,""pnp_camera_xyz"":[0.331872,0.576629,1.310134],""pnp_camera_quat_xyzw"":[-0.049609,-0.022459,0.034446,0.997922],""pnp_camera_rpy_deg"":[-5.776369,-2.373098,4.073592],""pnp_reprojection_error_px"":0.215951},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":147.681305,""pixel_xy"":[817.927277,649.754824],""world_xy_yaw"":[0.248518,0.572099,0.059309],""pnp_valid"":true,""pnp_camera_xyz"":[0.325644,0.724157,1.308421],""pnp_camera_quat_xyzw"":[-0.063836,-0.008327,0.033568,0.997361],""pnp_camera_rpy_deg"":[-7.348466,-0.7062,3.900665],""pnp_reprojection_error_px"":0.036573},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":135.777298,""pixel_xy"":[837.87829,348.142795],""world_xy_yaw"":[0.282036,0.940066,1.373286],""pnp_valid"":true,""pnp_camera_xyz"":[0.36209,-0.001126,1.262719],""pnp_camera_quat_xyzw"":[-0.025894,-0.024265,0.632904,0.773416],""pnp_camera_rpy_deg"":[-4.058199,-0.272502,78.59815],""pnp_reprojection_error_px"":0.041487}]",1,0.036573,147.681305,91.73635,,0,,0,,
2026-08-12T15:25:59.992378+00:00,21135.276032366,onboard_overhead_fish_dynamic,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.002277,16,1786548359.946943521,finsrov_stereo_left_optical,"[0.010753848871732585,-0.11184284505068887,0.3497155063733659]","[0.0,0.0,0.0,1.0]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.002001,24,1,"[16,17]","[0.248705,0.572099,0.055141]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":150.813736,""pixel_xy"":[818.038945,649.755225],""world_xy_yaw"":[0.248705,0.572099,0.055141],""pnp_valid"":true,""pnp_camera_xyz"":[0.324999,0.722345,1.305099],""pnp_camera_quat_xyzw"":[-0.055699,-0.008761,0.032908,0.997867],""pnp_camera_rpy_deg"":[-6.416058,-0.791777,3.822077],""pnp_reprojection_error_px"":0.043416},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":140.443893,""pixel_xy"":[838.49225,347.914617],""world_xy_yaw"":[0.283067,0.940344,1.376712],""pnp_valid"":true,""pnp_camera_xyz"":[0.36363,-0.001626,1.263308],""pnp_camera_quat_xyzw"":[-0.023976,-0.025068,0.63367,0.772825],""pnp_camera_rpy_deg"":[-3.946806,-0.478983,78.71591],""pnp_reprojection_error_px"":0.04295}]",1,0.043416,150.813736,91.658975,,0,,0,,
