host_time_utc,host_monotonic_s,phase,requested_armed,requested_channels_forward_right_down_yaw,sent,transport_open,session_confirmed,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,command_count,rejected_command_count,round_trip_ms,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,yaw_rad,yaw_rate_rad_s,depth_m,pressure_pa,received_channels_forward_right_down_yaw,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available,vision_fresh,vision_age_s,vision_count,vision_stamp_s,vision_frame_id,vision_position_xyz_m,vision_quat_xyzw,vision_covariance_diag,vision_status_age_s,vision_status_count,vision_detected,vision_detected_ids,vision_world_xy_yaw,vision_detections_detail,vision_pnp_valid,vision_pnp_reprojection_error_px,vision_decision_margin,vision_detection_fps,refracted_status_age_s,refracted_status_count,refracted_mode,refracted_valid,refracted_residual_m,refracted_reject_reason
2026-08-11T13:56:40.767636+00:00,1243996.235529806,m2_positive_pool_direction,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-11T13:56:40.818186+00:00,1243996.286075520,m2_positive_pool_direction,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000080,1,1786456600.781165123,finsrov_overhead_camera,"[0.9256981475891602,0.48031341759149115,1.2234753334243416]","[-0.035764723916530496,-0.005908193413871419,-0.22707788117725006,0.9732017332772324]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-11T13:56:40.867793+00:00,1243996.335683869,m2_positive_pool_direction,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.049688,1,1786456600.781165123,finsrov_overhead_camera,"[0.9256981475891602,0.48031341759149115,1.2234753334243416]","[-0.035764723916530496,-0.005908193413871419,-0.22707788117725006,0.9732017332772324]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000124,1,1,"[15,16]","[0.708017,0.680505,-0.506913]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":112.715584,""pixel_xy"":[1062.637304,504.485593],""world_xy_yaw"":[0.659631,0.749328,-0.492893],""pnp_valid"":true,""pnp_camera_xyz"":[0.864646,0.354153,1.234637],""pnp_camera_quat_xyzw"":[-0.035659,-0.00615,-0.227762,0.973044],""pnp_camera_rpy_deg"":[-3.819959,-1.616649,-26.294314],""pnp_reprojection_error_px"":0.062215},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":133.567352,""pixel_xy"":[1091.43869,560.897317],""world_xy_yaw"":[0.708017,0.680505,-0.506913],""pnp_valid"":true,""pnp_camera_xyz"":[0.925698,0.480313,1.223475],""pnp_camera_quat_xyzw"":[-0.035765,-0.005908,-0.227078,0.973202],""pnp_camera_rpy_deg"":[-3.839118,-1.589731,-26.214479],""pnp_reprojection_error_px"":0.064411}]",1,0.064411,133.567352,93.345825,,0,,0,,
2026-08-11T13:56:40.917714+00:00,1243996.385607100,m2_positive_pool_direction,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.099611,1,1786456600.781165123,finsrov_overhead_camera,"[0.9256981475891602,0.48031341759149115,1.2234753334243416]","[-0.035764723916530496,-0.005908193413871419,-0.22707788117725006,0.9732017332772324]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.050047,1,1,"[15,16]","[0.708017,0.680505,-0.506913]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":112.715584,""pixel_xy"":[1062.637304,504.485593],""world_xy_yaw"":[0.659631,0.749328,-0.492893],""pnp_valid"":true,""pnp_camera_xyz"":[0.864646,0.354153,1.234637],""pnp_camera_quat_xyzw"":[-0.035659,-0.00615,-0.227762,0.973044],""pnp_camera_rpy_deg"":[-3.819959,-1.616649,-26.294314],""pnp_reprojection_error_px"":0.062215},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":133.567352,""pixel_xy"":[1091.43869,560.897317],""world_xy_yaw"":[0.708017,0.680505,-0.506913],""pnp_valid"":true,""pnp_camera_xyz"":[0.925698,0.480313,1.223475],""pnp_camera_quat_xyzw"":[-0.035765,-0.005908,-0.227078,0.973202],""pnp_camera_rpy_deg"":[-3.839118,-1.589731,-26.214479],""pnp_reprojection_error_px"":0.064411}]",1,0.064411,133.567352,93.345825,0.000088,1,air,1,0.17985,air_pinhole_pose_pressure_depth_z
2026-08-11T13:56:40.967583+00:00,1243996.435447614,m2_positive_pool_direction,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.149452,1,1786456600.781165123,finsrov_overhead_camera,"[0.9256981475891602,0.48031341759149115,1.2234753334243416]","[-0.035764723916530496,-0.005908193413871419,-0.22707788117725006,0.9732017332772324]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.099887,1,1,"[15,16]","[0.708017,0.680505,-0.506913]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":112.715584,""pixel_xy"":[1062.637304,504.485593],""world_xy_yaw"":[0.659631,0.749328,-0.492893],""pnp_valid"":true,""pnp_camera_xyz"":[0.864646,0.354153,1.234637],""pnp_camera_quat_xyzw"":[-0.035659,-0.00615,-0.227762,0.973044],""pnp_camera_rpy_deg"":[-3.819959,-1.616649,-26.294314],""pnp_reprojection_error_px"":0.062215},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":133.567352,""pixel_xy"":[1091.43869,560.897317],""world_xy_yaw"":[0.708017,0.680505,-0.506913],""pnp_valid"":true,""pnp_camera_xyz"":[0.925698,0.480313,1.223475],""pnp_camera_quat_xyzw"":[-0.035765,-0.005908,-0.227078,0.973202],""pnp_camera_rpy_deg"":[-3.839118,-1.589731,-26.214479],""pnp_reprojection_error_px"":0.064411}]",1,0.064411,133.567352,93.345825,0.049928,1,air,1,0.17985,air_pinhole_pose_pressure_depth_z
2026-08-11T13:56:41.018062+00:00,1243996.485949849,m2_positive_pool_direction,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000052,2,1786456600.819188356,finsrov_overhead_camera,"[0.9258682800441556,0.48030033742967504,1.2236008568873566]","[-0.03607803710487465,-0.006015465595907179,-0.2267405254092473,0.9732681663084755]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.150390,1,1,"[15,16]","[0.708017,0.680505,-0.506913]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":112.715584,""pixel_xy"":[1062.637304,504.485593],""world_xy_yaw"":[0.659631,0.749328,-0.492893],""pnp_valid"":true,""pnp_camera_xyz"":[0.864646,0.354153,1.234637],""pnp_camera_quat_xyzw"":[-0.035659,-0.00615,-0.227762,0.973044],""pnp_camera_rpy_deg"":[-3.819959,-1.616649,-26.294314],""pnp_reprojection_error_px"":0.062215},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":133.567352,""pixel_xy"":[1091.43869,560.897317],""world_xy_yaw"":[0.708017,0.680505,-0.506913],""pnp_valid"":true,""pnp_camera_xyz"":[0.925698,0.480313,1.223475],""pnp_camera_quat_xyzw"":[-0.035765,-0.005908,-0.227078,0.973202],""pnp_camera_rpy_deg"":[-3.839118,-1.589731,-26.214479],""pnp_reprojection_error_px"":0.064411}]",1,0.064411,133.567352,93.345825,0.100431,1,air,1,0.17985,air_pinhole_pose_pressure_depth_z
2026-08-11T13:56:41.067881+00:00,1243996.535767485,m2_positive_pool_direction,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.049870,2,1786456600.819188356,finsrov_overhead_camera,"[0.9258682800441556,0.48030033742967504,1.2236008568873566]","[-0.03607803710487465,-0.006015465595907179,-0.2267405254092473,0.9732681663084755]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000151,2,1,"[15,16]","[0.708024,0.680569,-0.505714]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":115.011932,""pixel_xy"":[1062.691691,504.462944],""world_xy_yaw"":[0.659722,0.749355,-0.492824],""pnp_valid"":true,""pnp_camera_xyz"":[0.864841,0.354147,1.234767],""pnp_camera_quat_xyzw"":[-0.035567,-0.006158,-0.227485,0.973112],""pnp_camera_rpy_deg"":[-3.809912,-1.614014,-26.261882],""pnp_reprojection_error_px"":0.068034},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":132.369064,""pixel_xy"":[1091.442588,560.845059],""world_xy_yaw"":[0.708024,0.680569,-0.505714],""pnp_valid"":true,""pnp_camera_xyz"":[0.925868,0.4803,1.223601],""pnp_camera_quat_xyzw"":[-0.036078,-0.006015,-0.226741,0.973268],""pnp_camera_rpy_deg"":[-3.871896,-1.608505,-26.173986],""pnp_reprojection_error_px"":0.02958}]",1,0.02958,132.369064,94.349155,0.150248,1,air,1,0.17985,air_pinhole_pose_pressure_depth_z
2026-08-11T13:56:41.117970+00:00,1243996.585849340,m2_positive_pool_direction,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.099952,2,1786456600.819188356,finsrov_overhead_camera,"[0.9258682800441556,0.48030033742967504,1.2236008568873566]","[-0.03607803710487465,-0.006015465595907179,-0.2267405254092473,0.9732681663084755]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.050232,2,1,"[15,16]","[0.708024,0.680569,-0.505714]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":115.011932,""pixel_xy"":[1062.691691,504.462944],""world_xy_yaw"":[0.659722,0.749355,-0.492824],""pnp_valid"":true,""pnp_camera_xyz"":[0.864841,0.354147,1.234767],""pnp_camera_quat_xyzw"":[-0.035567,-0.006158,-0.227485,0.973112],""pnp_camera_rpy_deg"":[-3.809912,-1.614014,-26.261882],""pnp_reprojection_error_px"":0.068034},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":132.369064,""pixel_xy"":[1091.442588,560.845059],""world_xy_yaw"":[0.708024,0.680569,-0.505714],""pnp_valid"":true,""pnp_camera_xyz"":[0.925868,0.4803,1.223601],""pnp_camera_quat_xyzw"":[-0.036078,-0.006015,-0.226741,0.973268],""pnp_camera_rpy_deg"":[-3.871896,-1.608505,-26.173986],""pnp_reprojection_error_px"":0.02958}]",1,0.02958,132.369064,94.349155,0.000178,2,air,1,0.17018,air_pinhole_pose_pressure_depth_z
2026-08-11T13:56:41.167565+00:00,1243996.635445979,m2_positive_pool_direction,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.149548,2,1786456600.819188356,finsrov_overhead_camera,"[0.9258682800441556,0.48030033742967504,1.2236008568873566]","[-0.03607803710487465,-0.006015465595907179,-0.2267405254092473,0.9732681663084755]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.099829,2,1,"[15,16]","[0.708024,0.680569,-0.505714]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":115.011932,""pixel_xy"":[1062.691691,504.462944],""world_xy_yaw"":[0.659722,0.749355,-0.492824],""pnp_valid"":true,""pnp_camera_xyz"":[0.864841,0.354147,1.234767],""pnp_camera_quat_xyzw"":[-0.035567,-0.006158,-0.227485,0.973112],""pnp_camera_rpy_deg"":[-3.809912,-1.614014,-26.261882],""pnp_reprojection_error_px"":0.068034},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":132.369064,""pixel_xy"":[1091.442588,560.845059],""world_xy_yaw"":[0.708024,0.680569,-0.505714],""pnp_valid"":true,""pnp_camera_xyz"":[0.925868,0.4803,1.223601],""pnp_camera_quat_xyzw"":[-0.036078,-0.006015,-0.226741,0.973268],""pnp_camera_rpy_deg"":[-3.871896,-1.608505,-26.173986],""pnp_reprojection_error_px"":0.02958}]",1,0.02958,132.369064,94.349155,0.049774,2,air,1,0.17018,air_pinhole_pose_pressure_depth_z
2026-08-11T13:56:41.218688+00:00,1243996.686549492,m2_positive_pool_direction,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000101,3,1786456600.848007917,finsrov_overhead_camera,"[0.9257441852062863,0.4801748046842512,1.2233558511298774]","[-0.036155055989664855,-0.0064642969976943885,-0.22648440059670366,0.9733220644149919]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.150933,2,1,"[15,16]","[0.708024,0.680569,-0.505714]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":115.011932,""pixel_xy"":[1062.691691,504.462944],""world_xy_yaw"":[0.659722,0.749355,-0.492824],""pnp_valid"":true,""pnp_camera_xyz"":[0.864841,0.354147,1.234767],""pnp_camera_quat_xyzw"":[-0.035567,-0.006158,-0.227485,0.973112],""pnp_camera_rpy_deg"":[-3.809912,-1.614014,-26.261882],""pnp_reprojection_error_px"":0.068034},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":132.369064,""pixel_xy"":[1091.442588,560.845059],""world_xy_yaw"":[0.708024,0.680569,-0.505714],""pnp_valid"":true,""pnp_camera_xyz"":[0.925868,0.4803,1.223601],""pnp_camera_quat_xyzw"":[-0.036078,-0.006015,-0.226741,0.973268],""pnp_camera_rpy_deg"":[-3.871896,-1.608505,-26.173986],""pnp_reprojection_error_px"":0.02958}]",1,0.02958,132.369064,94.349155,0.100878,2,air,1,0.17018,air_pinhole_pose_pressure_depth_z
2026-08-11T13:56:41.267918+00:00,1243996.735802108,m2_positive_pool_direction,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.049354,3,1786456600.848007917,finsrov_overhead_camera,"[0.9257441852062863,0.4801748046842512,1.2233558511298774]","[-0.036155055989664855,-0.0064642969976943885,-0.22648440059670366,0.9733220644149919]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000171,3,1,"[15,16]","[0.7081,0.680589,-0.50679]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":115.325104,""pixel_xy"":[1062.718877,504.433932],""world_xy_yaw"":[0.659768,0.749391,-0.491916],""pnp_valid"":true,""pnp_camera_xyz"":[0.865817,0.354463,1.236063],""pnp_camera_quat_xyzw"":[-0.036372,-0.005203,-0.227477,0.97309],""pnp_camera_rpy_deg"":[-3.924562,-1.528425,-26.262879],""pnp_reprojection_error_px"":0.063812},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":134.86673,""pixel_xy"":[1091.487922,560.82839],""world_xy_yaw"":[0.7081,0.680589,-0.50679],""pnp_valid"":true,""pnp_camera_xyz"":[0.925744,0.480175,1.223356],""pnp_camera_quat_xyzw"":[-0.036155,-0.006464,-0.226484,0.973322],""pnp_camera_rpy_deg"":[-3.869329,-1.659564,-26.142291],""pnp_reprojection_error_px"":0.048586}]",1,0.048586,134.86673,93.142769,0.150130,2,air,1,0.17018,air_pinhole_pose_pressure_depth_z
2026-08-11T13:56:41.317786+00:00,1243996.785676238,m2_positive_pool_direction,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.099228,3,1786456600.848007917,finsrov_overhead_camera,"[0.9257441852062863,0.4801748046842512,1.2233558511298774]","[-0.036155055989664855,-0.0064642969976943885,-0.22648440059670366,0.9733220644149919]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.050045,3,1,"[15,16]","[0.7081,0.680589,-0.50679]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":115.325104,""pixel_xy"":[1062.718877,504.433932],""world_xy_yaw"":[0.659768,0.749391,-0.491916],""pnp_valid"":true,""pnp_camera_xyz"":[0.865817,0.354463,1.236063],""pnp_camera_quat_xyzw"":[-0.036372,-0.005203,-0.227477,0.97309],""pnp_camera_rpy_deg"":[-3.924562,-1.528425,-26.262879],""pnp_reprojection_error_px"":0.063812},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":134.86673,""pixel_xy"":[1091.487922,560.82839],""world_xy_yaw"":[0.7081,0.680589,-0.50679],""pnp_valid"":true,""pnp_camera_xyz"":[0.925744,0.480175,1.223356],""pnp_camera_quat_xyzw"":[-0.036155,-0.006464,-0.226484,0.973322],""pnp_camera_rpy_deg"":[-3.869329,-1.659564,-26.142291],""pnp_reprojection_error_px"":0.048586}]",1,0.048586,134.86673,93.142769,0.000101,3,air,1,0.173994,air_pinhole_pose_pressure_depth_z
2026-08-11T13:56:41.367650+00:00,1243996.835498708,m2_positive_pool_direction,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.149050,3,1786456600.848007917,finsrov_overhead_camera,"[0.9257441852062863,0.4801748046842512,1.2233558511298774]","[-0.036155055989664855,-0.0064642969976943885,-0.22648440059670366,0.9733220644149919]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.099868,3,1,"[15,16]","[0.7081,0.680589,-0.50679]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":115.325104,""pixel_xy"":[1062.718877,504.433932],""world_xy_yaw"":[0.659768,0.749391,-0.491916],""pnp_valid"":true,""pnp_camera_xyz"":[0.865817,0.354463,1.236063],""pnp_camera_quat_xyzw"":[-0.036372,-0.005203,-0.227477,0.97309],""pnp_camera_rpy_deg"":[-3.924562,-1.528425,-26.262879],""pnp_reprojection_error_px"":0.063812},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":134.86673,""pixel_xy"":[1091.487922,560.82839],""world_xy_yaw"":[0.7081,0.680589,-0.50679],""pnp_valid"":true,""pnp_camera_xyz"":[0.925744,0.480175,1.223356],""pnp_camera_quat_xyzw"":[-0.036155,-0.006464,-0.226484,0.973322],""pnp_camera_rpy_deg"":[-3.869329,-1.659564,-26.142291],""pnp_reprojection_error_px"":0.048586}]",1,0.048586,134.86673,93.142769,0.049923,3,air,1,0.173994,air_pinhole_pose_pressure_depth_z
2026-08-11T13:56:41.418005+00:00,1243996.885879200,m2_positive_pool_direction,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000049,4,1786456600.879720926,finsrov_overhead_camera,"[0.9265960241346667,0.4805204834298674,1.2243987930324607]","[-0.03639194401399045,-0.0054993233680303505,-0.2264193997204444,0.9733342895858597]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.150248,3,1,"[15,16]","[0.7081,0.680589,-0.50679]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":115.325104,""pixel_xy"":[1062.718877,504.433932],""world_xy_yaw"":[0.659768,0.749391,-0.491916],""pnp_valid"":true,""pnp_camera_xyz"":[0.865817,0.354463,1.236063],""pnp_camera_quat_xyzw"":[-0.036372,-0.005203,-0.227477,0.97309],""pnp_camera_rpy_deg"":[-3.924562,-1.528425,-26.262879],""pnp_reprojection_error_px"":0.063812},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":134.86673,""pixel_xy"":[1091.487922,560.82839],""world_xy_yaw"":[0.7081,0.680589,-0.50679],""pnp_valid"":true,""pnp_camera_xyz"":[0.925744,0.480175,1.223356],""pnp_camera_quat_xyzw"":[-0.036155,-0.006464,-0.226484,0.973322],""pnp_camera_rpy_deg"":[-3.869329,-1.659564,-26.142291],""pnp_reprojection_error_px"":0.048586}]",1,0.048586,134.86673,93.142769,0.100304,3,air,1,0.173994,air_pinhole_pose_pressure_depth_z
2026-08-11T13:56:41.467680+00:00,1243996.935574804,m2_positive_pool_direction,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.049744,4,1786456600.879720926,finsrov_overhead_camera,"[0.9265960241346667,0.4805204834298674,1.2243987930324607]","[-0.03639194401399045,-0.0054993233680303505,-0.2264193997204444,0.9733342895858597]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000082,4,1,"[15,16]","[0.708129,0.680605,-0.504595]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":113.752205,""pixel_xy"":[1062.762549,504.405744],""world_xy_yaw"":[0.659841,0.749425,-0.492303],""pnp_valid"":true,""pnp_camera_xyz"":[0.865009,0.354022,1.234768],""pnp_camera_quat_xyzw"":[-0.036123,-0.006604,-0.226925,0.97322],""pnp_camera_rpy_deg"":[-3.861398,-1.676053,-26.193687],""pnp_reprojection_error_px"":0.066069},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":134.385941,""pixel_xy"":[1091.505257,560.815335],""world_xy_yaw"":[0.708129,0.680605,-0.504595],""pnp_valid"":true,""pnp_camera_xyz"":[0.926596,0.48052,1.224399],""pnp_camera_quat_xyzw"":[-0.036392,-0.005499,-0.226419,0.973334],""pnp_camera_rpy_deg"":[-3.920831,-1.55778,-26.137452],""pnp_reprojection_error_px"":0.041826}]",1,0.041826,134.385941,93.557252,0.149999,3,air,1,0.173994,air_pinhole_pose_pressure_depth_z
2026-08-11T13:56:41.517687+00:00,1243996.985580396,m2_positive_pool_direction,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.099750,4,1786456600.879720926,finsrov_overhead_camera,"[0.9265960241346667,0.4805204834298674,1.2243987930324607]","[-0.03639194401399045,-0.0054993233680303505,-0.2264193997204444,0.9733342895858597]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.050087,4,1,"[15,16]","[0.708129,0.680605,-0.504595]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":113.752205,""pixel_xy"":[1062.762549,504.405744],""world_xy_yaw"":[0.659841,0.749425,-0.492303],""pnp_valid"":true,""pnp_camera_xyz"":[0.865009,0.354022,1.234768],""pnp_camera_quat_xyzw"":[-0.036123,-0.006604,-0.226925,0.97322],""pnp_camera_rpy_deg"":[-3.861398,-1.676053,-26.193687],""pnp_reprojection_error_px"":0.066069},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":134.385941,""pixel_xy"":[1091.505257,560.815335],""world_xy_yaw"":[0.708129,0.680605,-0.504595],""pnp_valid"":true,""pnp_camera_xyz"":[0.926596,0.48052,1.224399],""pnp_camera_quat_xyzw"":[-0.036392,-0.005499,-0.226419,0.973334],""pnp_camera_rpy_deg"":[-3.920831,-1.55778,-26.137452],""pnp_reprojection_error_px"":0.041826}]",1,0.041826,134.385941,93.557252,0.000078,4,air,1,0.169964,air_pinhole_pose_pressure_depth_z
2026-08-11T13:56:41.567543+00:00,1243997.035415506,m2_positive_pool_direction,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.149585,4,1786456600.879720926,finsrov_overhead_camera,"[0.9265960241346667,0.4805204834298674,1.2243987930324607]","[-0.03639194401399045,-0.0054993233680303505,-0.2264193997204444,0.9733342895858597]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.099922,4,1,"[15,16]","[0.708129,0.680605,-0.504595]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":113.752205,""pixel_xy"":[1062.762549,504.405744],""world_xy_yaw"":[0.659841,0.749425,-0.492303],""pnp_valid"":true,""pnp_camera_xyz"":[0.865009,0.354022,1.234768],""pnp_camera_quat_xyzw"":[-0.036123,-0.006604,-0.226925,0.97322],""pnp_camera_rpy_deg"":[-3.861398,-1.676053,-26.193687],""pnp_reprojection_error_px"":0.066069},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":134.385941,""pixel_xy"":[1091.505257,560.815335],""world_xy_yaw"":[0.708129,0.680605,-0.504595],""pnp_valid"":true,""pnp_camera_xyz"":[0.926596,0.48052,1.224399],""pnp_camera_quat_xyzw"":[-0.036392,-0.005499,-0.226419,0.973334],""pnp_camera_rpy_deg"":[-3.920831,-1.55778,-26.137452],""pnp_reprojection_error_px"":0.041826}]",1,0.041826,134.385941,93.557252,0.049913,4,air,1,0.169964,air_pinhole_pose_pressure_depth_z
2026-08-11T13:56:41.618808+00:00,1243997.086685611,m2_positive_pool_direction,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000105,5,1786456600.987971783,finsrov_overhead_camera,"[0.9258937522588011,0.4799487479525055,1.2232478918643395]","[-0.03600146728180936,-0.006028907581547365,-0.22624953447215368,0.9733851728776557]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.151193,4,1,"[15,16]","[0.708129,0.680605,-0.504595]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":113.752205,""pixel_xy"":[1062.762549,504.405744],""world_xy_yaw"":[0.659841,0.749425,-0.492303],""pnp_valid"":true,""pnp_camera_xyz"":[0.865009,0.354022,1.234768],""pnp_camera_quat_xyzw"":[-0.036123,-0.006604,-0.226925,0.97322],""pnp_camera_rpy_deg"":[-3.861398,-1.676053,-26.193687],""pnp_reprojection_error_px"":0.066069},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":134.385941,""pixel_xy"":[1091.505257,560.815335],""world_xy_yaw"":[0.708129,0.680605,-0.504595],""pnp_valid"":true,""pnp_camera_xyz"":[0.926596,0.48052,1.224399],""pnp_camera_quat_xyzw"":[-0.036392,-0.005499,-0.226419,0.973334],""pnp_camera_rpy_deg"":[-3.920831,-1.55778,-26.137452],""pnp_reprojection_error_px"":0.041826}]",1,0.041826,134.385941,93.557252,0.101183,4,air,1,0.169964,air_pinhole_pose_pressure_depth_z
